,name,team,minutes
1,Javier Manquillo Gaitán,Newcastle,0
2,Dan Burn,Newcastle,1
10,Kell Watts,Newcastle,0
11,Kortney Hause,Aston Villa,0
15,Lucas Digne,Aston Villa,1
19,Matt Targett,Newcastle,0
20,Matty Cash,Aston Villa,1
27,Diego Carlos Santos Silva,Aston Villa,1
30,Emil Krafth,Newcastle,0
33,Ezri Konsa Ngoyo,Aston Villa,1
34,Fabian Schär,Newcastle,1
35,Harrison Ashby,Newcastle,0
42,Jamaal Lascelles,Newcastle,1
43,Jamal Lewis,Newcastle,0
44,Calum Chambers,Aston Villa,0
46,Kieran Trippier,Newcastle,1
47,Alexandre Moreno Lopera,Aston Villa,0
48,Pau Torres,Aston Villa,1
50,Sven Botman,Newcastle,0
54,Paul Dummett,Newcastle,0
56,Tyrone Mings,Aston Villa,0
67,Jarell Quansah,Liverpool,0
72,Virgil van Dijk,Liverpool,1
73,Joel Matip,Liverpool,0
75,Joe Gomez,Liverpool,1
79,Alex Murphy,Newcastle,0
81,Trent Alexander-Arnold,Liverpool,1
82,Ibrahima Konaté,Liverpool,1
87,Tino Livramento,Newcastle,1
91,Sepp van den Berg,Liverpool,0
92,Nathaniel Phillips,Liverpool,0
93,Andrew Robertson,Liverpool,0
96,Konstantinos Tsimikas,Liverpool,1
103,Gabriel dos Santos Magalhães,Arsenal,1
112,Pervis Estupiñán,Brighton,0
119,Oleksandr Zinchenko,Arsenal,1
120,Michał Karbownik,Brighton,0
121,William Saliba,Arsenal,1
124,Lewis Hall,Newcastle,0
126,Jan Paul van Hecke,Brighton,1
128,Joël Veltman,Brighton,1
130,Jurriën Timber,Arsenal,0
136,Kieran Tierney,Arsenal,0
143,Jakub Kiwior,Arsenal,0
144,Takehiro Tomiyasu,Arsenal,1
145,Tariq Lamptey,Brighton,0
148,Igor Julio dos Santos de Paulo,Brighton,0
150,Lewis Dunk,Brighton,1
153,Adam Webster,Brighton,0
156,Benjamin White,Arsenal,1
161,Cédric Alves Soares,Arsenal,0
164,Micky van de Ven,Spurs,1
167,Manuel Akanji,Man City,1
170,Rico Lewis,Man City,1
171,Ryan Sessegnon,Spurs,0
176,Rúben Gato Alves Dias,Man City,0
177,Joe Rodon,Spurs,0
178,Cristian Romero,Spurs,1
182,Davinson Sánchez,Spurs,0
183,Japhet Tanganga,Spurs,0
184,Djed Spence,Spurs,0
185,Pedro Porro,Spurs,1
