index,name,team,points,value
Erling Haaland2023-11-04T15:00:00Z,Erling Haaland,Man City,6.622985,140
Ollie Watkins2023-11-05T14:00:00Z,Ollie Watkins,Aston Villa,5.0689344,84
Callum Wilson2023-11-04T17:30:00Z,Callum Wilson,Newcastle,4.1427407,78
Julián Álvarez2023-11-04T15:00:00Z,Julián Álvarez,Man City,4.085805,72
Yoane Wissa2023-11-04T15:00:00Z,Yoane Wissa,Brentford,3.7388613,59
Darwin Núñez Ribeiro2023-11-05T16:30:00Z,Darwin Núñez Ribeiro,Liverpool,3.63981,75
Alexander Isak2023-11-04T17:30:00Z,Alexander Isak,Newcastle,3.6332314,74
Chris Wood2023-11-05T14:00:00Z,Chris Wood,Nott'm Forest,2.8572912,49
Matheus Santos Carneiro Da Cunha2023-11-04T15:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,2.6383493,55
Nicolas Jackson2023-11-06T20:00:00Z,Nicolas Jackson,Chelsea,2.614573,68
Dominic Solanke2023-11-04T15:00:00Z,Dominic Solanke,Bournemouth,2.580149,64
Rasmus Højlund2023-11-04T12:30:00Z,Rasmus Højlund,Man Utd,2.5508428,71
Evan Ferguson2023-11-04T15:00:00Z,Evan Ferguson,Brighton,2.396574,60
Chiedozie Ogbene2023-11-05T16:30:00Z,Chiedozie Ogbene,Luton,2.2081742,49
Odsonne Edouard2023-11-04T15:00:00Z,Odsonne Edouard,Crystal Palace,2.1801312,55
Neal Maupay2023-11-04T15:00:00Z,Neal Maupay,Brentford,2.0070477,49
Dominic Calvert-Lewin2023-11-04T15:00:00Z,Dominic Calvert-Lewin,Everton,1.9680903,58
Gabriel Fernando de Jesus2023-11-04T17:30:00Z,Gabriel Fernando de Jesus,Arsenal,1.9249611,78
Harry Kane2023-11-06T20:00:00Z,Harry Kane,Spurs,1.896163,125
Antoine Semenyo2023-11-04T15:00:00Z,Antoine Semenyo,Bournemouth,1.8852692,45
Eddie Nketiah2023-11-04T17:30:00Z,Eddie Nketiah,Arsenal,1.8207994,56
Raúl Jiménez2023-11-04T12:30:00Z,Raúl Jiménez,Fulham,1.7419696,52
Carlos Vinícius Alves Morais2023-11-04T12:30:00Z,Carlos Vinícius Alves Morais,Fulham,1.6957422,48
Sasa Kalajdzic2023-11-04T15:00:00Z,Sasa Kalajdzic,Wolves,1.6778078,49
Michail Antonio2023-11-04T15:00:00Z,Michail Antonio,West Ham,1.6059551,58
Oliver McBurnie2023-11-04T15:00:00Z,Oliver McBurnie,Sheffield Utd,1.5084503,54
Anthony Martial2023-11-04T12:30:00Z,Anthony Martial,Man Utd,1.4916643,64
João Pedro Junqueira de Jesus2023-11-04T15:00:00Z,João Pedro Junqueira de Jesus,Brighton,1.2520983,53
Lyle Foster2023-11-04T15:00:00Z,Lyle Foster,Burnley,1.1929624,50
Carlton Morris2023-11-05T16:30:00Z,Carlton Morris,Luton,1.1166118,54
Rodrigo Muniz Carvalho2023-11-04T12:30:00Z,Rodrigo Muniz Carvalho,Fulham,1.0999712,44
Cameron Archer2023-11-04T15:00:00Z,Cameron Archer,Sheffield Utd,1.0795703,45
Danny Welbeck2023-11-04T15:00:00Z,Danny Welbeck,Brighton,1.0706536,58
Jean-Philippe Mateta2023-11-04T15:00:00Z,Jean-Philippe Mateta,Crystal Palace,1.0342518,49
Elijah Adebayo2023-11-05T16:30:00Z,Elijah Adebayo,Luton,0.98233545,48
Cody Gakpo2023-11-05T16:30:00Z,Cody Gakpo,Liverpool,0.9780848,72
Kieffer Moore2023-11-04T15:00:00Z,Kieffer Moore,Bournemouth,0.9780848,47
Rhian Brewster2023-11-04T15:00:00Z,Rhian Brewster,Sheffield Utd,0.9780848,49
Jacob Brown2023-11-05T16:30:00Z,Jacob Brown,Luton,0.9780848,49
Zeki Amdouni2023-11-04T15:00:00Z,Zeki Amdouni,Burnley,0.9780848,54
Armando Broja2023-11-06T20:00:00Z,Armando Broja,Chelsea,0.9507431,49
Taiwo Awoniyi2023-11-05T14:00:00Z,Taiwo Awoniyi,Nott'm Forest,0.94190955,64
Cauley Woodrow2023-11-05T16:30:00Z,Cauley Woodrow,Luton,0.8560828,44
Jay Rodriguez2023-11-04T15:00:00Z,Jay Rodriguez,Burnley,0.84530956,53
Jamie Donley2023-12-15T20:00:00Z,Jamie Donley,Spurs,0.7844575,45
Divock Origi2023-12-06T19:30:00Z,Divock Origi,Nott'm Forest,0.77853936,50
Danny Ings2023-11-04T15:00:00Z,Danny Ings,West Ham,0.7380767,56
Norberto Bercique Gomes Betuncal2023-12-02T17:30:00Z,Norberto Bercique Gomes Betuncal,Everton,0.63834584,57
Ivan Toney2023-11-04T15:00:00Z,Ivan Toney,Brentford,0.4858687,79
Alejo Véliz2023-11-06T20:00:00Z,Alejo Véliz,Spurs,0.46733224,54
Aleksandar Mitrović2023-11-04T12:30:00Z,Aleksandar Mitrović,Fulham,0.45033765,74
Bénie Traoré2023-11-04T15:00:00Z,Bénie Traoré,Sheffield Utd,0.41178203,52
Ademola Ola-Adebomi2023-12-16T15:00:00Z,Ademola Ola-Adebomi,Crystal Palace,0.40926856,45
Nathan Fraser2023-12-02T15:00:00Z,Nathan Fraser,Wolves,0.3934657,45
Ronnie Stutter2023-12-06T20:15:00Z,Ronnie Stutter,Chelsea,0.39235902,45
Deivid Washington de Souza Eugênio2023-11-25T15:00:00Z,Deivid Washington de Souza Eugênio,Chelsea,0.39235902,45
Fábio Silva2023-11-04T15:00:00Z,Fábio Silva,Wolves,0.3666309,53
Youssef Ramalho Chermiti2023-11-04T15:00:00Z,Youssef Ramalho Chermiti,Everton,0.32304913,49
Deniz Undav2023-11-04T15:00:00Z,Deniz Undav,Brighton,0.30611825,55
Christopher Nkunku2023-11-06T20:00:00Z,Christopher Nkunku,Chelsea,0.27331012,73
Pierre-Emerick Aubameyang2023-11-06T20:00:00Z,Pierre-Emerick Aubameyang,Chelsea,0.2576406,65
Romelu Lukaku Bolingoli2023-11-06T20:00:00Z,Romelu Lukaku Bolingoli,Chelsea,0.23567194,68
Gianluca Scamacca2023-11-04T15:00:00Z,Gianluca Scamacca,West Ham,0.23474914,60
Emmanuel Dennis2023-11-05T14:00:00Z,Emmanuel Dennis,Nott'm Forest,0.21687698,48
Wout Weghorst2023-11-04T15:00:00Z,Wout Weghorst,Burnley,0.1529187,55
Iliman Ndiaye2023-11-04T15:00:00Z,Iliman Ndiaye,Sheffield Utd,0.14075893,55
Sam Surridge2023-11-05T14:00:00Z,Sam Surridge,Nott'm Forest,0.12440318,45
Keinan Davis2023-11-05T14:00:00Z,Keinan Davis,Aston Villa,0.121243,49
Wesley Moraes Ferreira da Silva2023-11-05T14:00:00Z,Wesley Moraes Ferreira da Silva,Aston Villa,0.12123954,50
Jhon Durán2023-11-05T14:00:00Z,Jhon Durán,Aston Villa,0.09995204,50
Dane Scarlett2023-11-06T20:00:00Z,Dane Scarlett,Spurs,0.0991292,45
Shola Shoretire2023-11-04T12:30:00Z,Shola Shoretire,Man Utd,0.09880608,44
Folarin Balogun2023-11-04T17:30:00Z,Folarin Balogun,Arsenal,0.09738892,44
David Datro Fofana2023-11-06T20:00:00Z,David Datro Fofana,Chelsea,0.0858233,50
Andi Zeqiri2023-11-04T15:00:00Z,Andi Zeqiri,Brighton,0.083445966,44
Jay Stansfield2023-11-04T12:30:00Z,Jay Stansfield,Fulham,0.078054845,45
Michael Obafemi2023-11-04T15:00:00Z,Michael Obafemi,Burnley,0.06533885,49
Daniel Jebbison2023-11-04T15:00:00Z,Daniel Jebbison,Sheffield Utd,0.05600393,48
Ellis Simms2023-11-04T15:00:00Z,Ellis Simms,Everton,0.052469313,45
Thomas Cannon2023-11-04T15:00:00Z,Thomas Cannon,Everton,0.05034864,45
Hwang Ui-jo2023-11-05T14:00:00Z,Hwang Ui-jo,Nott'm Forest,0.042476892,44
Mason Burstow2023-11-06T20:00:00Z,Mason Burstow,Chelsea,0.041936457,45
John-Kymani Gordon2023-11-04T15:00:00Z,John-Kymani Gordon,Crystal Palace,0.035764456,45
Luke Plange2023-11-04T15:00:00Z,Luke Plange,Crystal Palace,0.035764456,45
Admiral Muskwe2023-11-05T16:30:00Z,Admiral Muskwe,Luton,0.03350228,45
Aribim Pepple2023-11-05T16:30:00Z,Aribim Pepple,Luton,0.03350228,45
John McAtee2023-11-05T16:30:00Z,John McAtee,Luton,0.03350228,45
Joe Taylor2023-11-05T16:30:00Z,Joe Taylor,Luton,0.03350228,45
Antwoine Hackford2023-11-04T15:00:00Z,Antwoine Hackford,Sheffield Utd,0.029331207,45
Louie Marsh2023-11-04T15:00:00Z,Louie Marsh,Sheffield Utd,0.029331207,45
William Osula2023-11-04T15:00:00Z,William Osula,Sheffield Utd,0.017451942,43
Halil Dervişoğlu2023-11-04T15:00:00Z,Halil Dervişoğlu,Brentford,0.00027525425,45
Aaron Connolly2023-11-04T15:00:00Z,Aaron Connolly,Brighton,-0.030343771,45
Divin Mubama2023-11-04T15:00:00Z,Divin Mubama,West Ham,-0.057015896,43
