index,name,team,points,value
Kieran Trippier2023-12-10T16:30:00Z,Kieran Trippier,Newcastle,4.004597,70
Diogo Dalot Teixeira2023-12-09T15:00:00Z,Diogo Dalot Teixeira,Man Utd,3.9100704,50
Fabian Schär2023-12-10T16:30:00Z,Fabian Schär,Newcastle,3.810824,53
Pau Torres2023-12-09T17:30:00Z,Pau Torres,Aston Villa,3.7319064,46
Pedro Porro2023-12-10T16:30:00Z,Pedro Porro,Spurs,3.7295957,53
Destiny Udogie2023-12-10T16:30:00Z,Destiny Udogie,Spurs,3.696356,48
Rúben Gato Alves Dias2023-12-10T14:00:00Z,Rúben Gato Alves Dias,Man City,3.5805619,55
Tino Livramento2023-12-10T16:30:00Z,Tino Livramento,Newcastle,3.489307,43
Ben Mee2023-12-09T15:00:00Z,Ben Mee,Brentford,3.4388177,48
Kyle Walker2023-12-10T14:00:00Z,Kyle Walker,Man City,3.362105,53
Luke Shaw2023-12-09T15:00:00Z,Luke Shaw,Man Utd,3.3470306,52
Lucas Digne2023-12-09T17:30:00Z,Lucas Digne,Aston Villa,3.3321967,47
Antonee Robinson2023-12-10T14:00:00Z,Antonee Robinson,Fulham,3.2643893,44
Diego Carlos Santos Silva2023-12-09T17:30:00Z,Diego Carlos Santos Silva,Aston Villa,3.2423687,44
Nélson Cabral Semedo2023-12-09T15:00:00Z,Nélson Cabral Semedo,Wolves,3.2276604,45
Calvin Bassey2023-12-10T14:00:00Z,Calvin Bassey,Fulham,3.1989992,44
Jamaal Lascelles2023-12-10T16:30:00Z,Jamaal Lascelles,Newcastle,3.1763787,42
Dara O'Shea2023-12-09T15:00:00Z,Dara O'Shea,Burnley,3.163165,44
Manuel Akanji2023-12-10T14:00:00Z,Manuel Akanji,Man City,3.1003394,49
Jan Paul van Hecke2023-12-09T15:00:00Z,Jan Paul van Hecke,Brighton,2.9852676,40
Charlie Taylor2023-12-09T15:00:00Z,Charlie Taylor,Burnley,2.9590244,40
Ezri Konsa Ngoyo2023-12-09T17:30:00Z,Ezri Konsa Ngoyo,Aston Villa,2.9517045,45
Max Kilman2023-12-09T15:00:00Z,Max Kilman,Wolves,2.9397368,45
Marcos Senesi2023-12-09T15:00:00Z,Marcos Senesi,Bournemouth,2.93841,43
Trent Alexander-Arnold2023-12-09T12:30:00Z,Trent Alexander-Arnold,Liverpool,2.9157808,81
Jarrad Branthwaite2023-12-10T14:00:00Z,Jarrad Branthwaite,Everton,2.913235,41
Tim Ream2023-12-10T14:00:00Z,Tim Ream,Fulham,2.9070609,45
Ethan Pinnock2023-12-09T15:00:00Z,Ethan Pinnock,Brentford,2.754331,46
James Tarkowski2023-12-10T14:00:00Z,James Tarkowski,Everton,2.7325933,44
Joël Veltman2023-12-09T15:00:00Z,Joël Veltman,Brighton,2.7251675,44
Adam Smith2023-12-09T15:00:00Z,Adam Smith,Bournemouth,2.692683,44
Ben Davies2023-12-10T16:30:00Z,Ben Davies,Spurs,2.6510384,43
Harry Maguire2023-12-09T15:00:00Z,Harry Maguire,Man Utd,2.6457694,43
Harry Toffolo2023-12-09T15:00:00Z,Harry Toffolo,Nott'm Forest,2.6000881,44
Joško Gvardiol2023-12-10T14:00:00Z,Joško Gvardiol,Man City,2.5997581,49
Illia Zabarnyi2023-12-09T15:00:00Z,Illia Zabarnyi,Bournemouth,2.560675,44
Thiago Emiliano da Silva2023-12-10T14:00:00Z,Thiago Emiliano da Silva,Chelsea,2.5523937,50
Joachim Andersen2023-12-09T12:30:00Z,Joachim Andersen,Crystal Palace,2.5520175,51
Igor Julio dos Santos de Paulo2023-12-09T15:00:00Z,Igor Julio dos Santos de Paulo,Brighton,2.5406992,43
Marc Guéhi2023-12-09T12:30:00Z,Marc Guéhi,Crystal Palace,2.4511037,46
Benjamin White2023-12-09T17:30:00Z,Benjamin White,Arsenal,2.4511037,56
Emerson Palmieri dos Santos2023-12-10T14:00:00Z,Emerson Palmieri dos Santos,West Ham,2.4511037,45
