,name,team,minutes
0,Martin Dubravka,Newcastle,0
8,Karl Darlow,Newcastle,0
9,Mark Gillespie,Newcastle,0
16,Nick Pope,Newcastle,1
17,Loris Karius,Newcastle,0
43,Jason Steele,Brighton,1
53,Bart Verbruggen,Brighton,0
58,Tom McGill,Brighton,0
67,Kjell Scherpen,Brighton,0
79,Ederson Santana de Moraes,Man City,1
82,Scott Carson,Man City,0
83,Zack Steffen,Man City,0
97,Stefan Ortega Moreno,Man City,0
101,Guglielmo Vicario,Spurs,1
109,Ellery Balcombe,Brentford,0
118,Fraser Forster,Spurs,0
123,Mark Flekken,Brentford,1
125,Hugo Lloris,Spurs,0
138,Matthew Cox,Brentford,0
151,Alfie Whiteman,Spurs,0
153,Brandon Austin,Spurs,0
165,Thomas Strakosha,Brentford,0
169,Rúnar Alex Rúnarsson,Arsenal,0
172,Aaron Ramsdale,Arsenal,1
181,David Raya Martin,Arsenal,0
199,Matt Turner,Nott'm Forest,1
201,Marcus Bettinelli,Chelsea,0
210,Marek Rodák,Fulham,0
213,Lukasz Fabianski,West Ham,0
219,Mark Travers,Bournemouth,0
246,Tom Heaton,Man Utd,0
257,Wayne Hennessey,Nott'm Forest,0
260,Viljami Sinisalo,Aston Villa,0
262,Vicente Guaita,Crystal Palace,0
269,Sam Johnstone,Crystal Palace,1
290,Norberto Murara Neto,Bournemouth,1
297,Robin Olsen,Aston Villa,0
298,Robert Sánchez,Chelsea,1
301,Remi Matthews,Crystal Palace,0
319,Emiliano Martínez Romero,Aston Villa,1
334,Ethan Horvath,Nott'm Forest,0
336,Gabriel Słonina,Chelsea,0
366,Caoimhin Kelleher,Liverpool,0
378,Dean Henderson,Man Utd,0
382,Darren Randolph,Bournemouth,0
385,Bernd Leno,Fulham,1
402,Joe Whitworth,Crystal Palace,0
422,Kepa Arrizabalaga,Chelsea,0
432,Adrián San Miguel del Castillo,Liverpool,0
440,Alisson Ramses Becker,Liverpool,1
441,André Onana,Man Utd,1
443,Ionuț Radu,Bournemouth,0
460,Alphonse Areola,West Ham,1
474,Adam Davies,Sheffield Utd,0
475,Tom King,Wolves,0
477,Andy Lonergan,Everton,0
485,Wes Foderingham,Sheffield Utd,1
495,Matija Šarkić,Wolves,0
509,Jordan Amissah,Sheffield Utd,0
510,Jordan Pickford,Everton,1
511,José Malheiro de Sá,Wolves,1
512,João Neves Virgínia,Everton,0
523,Daniel Bentley,Wolves,0
556,George Shelvey,Nott'm Forest,0
563,Joseph Anang,West Ham,0
566,Karl Hein,Arsenal,0
571,Lucas Bergström,Chelsea,0
