index,name,team,points,value
Emiliano Martínez Romero2023-08-20T13:00:00Z,Emiliano Martínez Romero,Aston Villa,3.3433266,50
Bernd Leno2023-08-19T14:00:00Z,Bernd Leno,Fulham,3.169836,45
Ederson Santana de Moraes2023-08-19T19:00:00Z,Ederson Santana de Moraes,Man City,2.9462626,55
Nick Pope2023-08-19T19:00:00Z,Nick Pope,Newcastle,2.8114867,55
José Malheiro de Sá2023-08-19T14:00:00Z,José Malheiro de Sá,Wolves,2.6717033,50
Jason Steele2023-08-19T14:00:00Z,Jason Steele,Brighton,2.652268,45
Alisson Ramses Becker2023-08-19T14:00:00Z,Alisson Ramses Becker,Liverpool,2.55192,55
Sam Johnstone2023-08-21T19:00:00Z,Sam Johnstone,Crystal Palace,2.4239457,45
Jordan Pickford2023-08-20T13:00:00Z,Jordan Pickford,Everton,2.2344887,45
André Onana2023-08-19T16:30:00Z,André Onana,Man Utd,2.1047091,50
Guglielmo Vicario2023-08-19T16:30:00Z,Guglielmo Vicario,Spurs,2.0089703,50
Robert Sánchez2023-08-20T15:30:00Z,Robert Sánchez,Chelsea,1.9670281,45
Matt Turner2023-08-18T18:45:00Z,Matt Turner,Nott'm Forest,1.8581712,40
Mark Flekken2023-08-19T14:00:00Z,Mark Flekken,Brentford,1.7890369,45
Aaron Ramsdale2023-08-21T19:00:00Z,Aaron Ramsdale,Arsenal,1.7802254,50
Alphonse Areola2023-08-20T15:30:00Z,Alphonse Areola,West Ham,1.7078617,40
Norberto Murara Neto2023-08-19T14:00:00Z,Norberto Murara Neto,Bournemouth,1.5262382,45
Wes Foderingham2023-08-18T18:45:00Z,Wes Foderingham,Sheffield Utd,1.032868,45
Lucas Bergström2023-08-20T15:30:00Z,Lucas Bergström,Chelsea,0.6498823,40
Hugo Lloris2023-08-19T16:30:00Z,Hugo Lloris,Spurs,0.46102512,50
David Raya Martin2023-08-21T19:00:00Z,David Raya Martin,Arsenal,0.44381255,50
Kepa Arrizabalaga2023-08-20T15:30:00Z,Kepa Arrizabalaga,Chelsea,0.4196124,50
Karl Hein2023-08-21T19:00:00Z,Karl Hein,Arsenal,0.39794022,40
