index,name,team,points,value
Mohamed Salah2023-09-16T11:30:00Z,Mohamed Salah,Liverpool,5.245981,125
Bukayo Saka2023-09-17T15:30:00Z,Bukayo Saka,Arsenal,5.006454,87
Son Heung-min2023-09-16T14:00:00Z,Son Heung-min,Spurs,4.8276196,91
James Maddison2023-09-16T14:00:00Z,James Maddison,Spurs,4.779722,78
Phil Foden2023-09-16T14:00:00Z,Phil Foden,Man City,4.6812916,76
Martin Ødegaard2023-09-17T15:30:00Z,Martin Ødegaard,Arsenal,4.6578507,85
Marcus Rashford2023-09-16T14:00:00Z,Marcus Rashford,Man Utd,4.5932617,89
Eberechi Eze2023-09-16T14:00:00Z,Eberechi Eze,Crystal Palace,4.4093914,63
Moussa Diaby2023-09-16T14:00:00Z,Moussa Diaby,Aston Villa,4.3165603,66
Bryan Mbeumo2023-09-16T16:30:00Z,Bryan Mbeumo,Brentford,4.2410536,68
Bruno Borges Fernandes2023-09-16T14:00:00Z,Bruno Borges Fernandes,Man Utd,4.219523,84
Morgan Gibbs-White2023-09-18T18:45:00Z,Morgan Gibbs-White,Nott'm Forest,4.1421213,59
Dominik Szoboszlai2023-09-16T11:30:00Z,Dominik Szoboszlai,Liverpool,4.031831,70
Pedro Lomba Neto2023-09-16T11:30:00Z,Pedro Lomba Neto,Wolves,3.794599,55
Kaoru Mitoma2023-09-16T14:00:00Z,Kaoru Mitoma,Brighton,3.7937486,65
Dejan Kulusevski2023-09-16T14:00:00Z,Dejan Kulusevski,Spurs,3.7496426,70
Gabriel Martinelli Silva2023-09-17T15:30:00Z,Gabriel Martinelli Silva,Arsenal,3.7004743,79
Pascal Groß2023-09-16T14:00:00Z,Pascal Groß,Brighton,3.682958,63
Solly March2023-09-16T14:00:00Z,Solly March,Brighton,3.5776231,66
Christian Eriksen2023-09-16T14:00:00Z,Christian Eriksen,Man Utd,3.5595114,59
Raheem Sterling2023-09-17T13:00:00Z,Raheem Sterling,Chelsea,3.5253818,72
Philip Billing2023-09-17T13:00:00Z,Philip Billing,Bournemouth,3.384233,53
Mathias Jensen2023-09-16T16:30:00Z,Mathias Jensen,Brentford,3.3417225,54
Mateo Kovačić2023-09-16T14:00:00Z,Mateo Kovačić,Man City,3.3294506,49
Enzo Fernández2023-09-17T13:00:00Z,Enzo Fernández,Chelsea,3.3137102,50
Jarrod Bowen2023-09-16T14:00:00Z,Jarrod Bowen,West Ham,3.2643442,71
Diogo Teixeira da Silva2023-09-16T11:30:00Z,Diogo Teixeira da Silva,Liverpool,3.206943,79
Rodrigo Hernandez2023-09-16T14:00:00Z,Rodrigo Hernandez,Man City,3.1585972,57
Luis Díaz2023-09-16T11:30:00Z,Luis Díaz,Liverpool,3.1394694,77
Lucas Tolentino Coelho de Lima2023-09-16T14:00:00Z,Lucas Tolentino Coelho de Lima,West Ham,3.100858,60
Christian Nørgaard2023-09-16T16:30:00Z,Christian Nørgaard,Brentford,3.0696423,55
Oliver Norwood2023-09-16T14:00:00Z,Oliver Norwood,Sheffield Utd,2.980022,50
Andreas Hoelgebaum Pereira2023-09-16T14:00:00Z,Andreas Hoelgebaum Pereira,Fulham,2.9767282,55
Bobby De Cordova-Reid2023-09-16T14:00:00Z,Bobby De Cordova-Reid,Fulham,2.9653833,55
John McGinn2023-09-16T14:00:00Z,John McGinn,Aston Villa,2.955495,55
Sandro Tonali2023-09-16T16:30:00Z,Sandro Tonali,Newcastle,2.9134855,55
Jack Grealish2023-09-16T14:00:00Z,Jack Grealish,Man City,2.9064732,73
