index,name,team,points,value
Kieran Trippier2023-11-04T17:30:00Z,Kieran Trippier,Newcastle,4.5997007861551635,70
Trent Alexander-Arnold2023-11-05T16:30:00Z,Trent Alexander-Arnold,Liverpool,3.765683191767722,79
Pedro Porro2023-11-06T20:00:00Z,Pedro Porro,Spurs,3.4451186184715583,52
Kyle Walker2023-11-04T15:00:00Z,Kyle Walker,Man City,3.426634501044979,53
Fabian Schär2023-11-04T17:30:00Z,Fabian Schär,Newcastle,3.3541979362310625,52
Dan Burn2023-11-04T17:30:00Z,Dan Burn,Newcastle,3.352791503147193,47
Ezri Konsa Ngoyo2023-11-05T14:00:00Z,Ezri Konsa Ngoyo,Aston Villa,3.243647086711963,45
Benjamin White2023-11-04T17:30:00Z,Benjamin White,Arsenal,3.2149703127960674,57
Lucas Digne2023-11-05T14:00:00Z,Lucas Digne,Aston Villa,3.2084308349521935,47
Ethan Pinnock2023-11-04T15:00:00Z,Ethan Pinnock,Brentford,3.2049799122331732,45
Micky van de Ven2023-11-06T20:00:00Z,Micky van de Ven,Spurs,3.159543076966596,47
Matty Cash2023-11-05T14:00:00Z,Matty Cash,Aston Villa,3.1047694055737347,52
Joško Gvardiol2023-11-04T15:00:00Z,Joško Gvardiol,Man City,3.0766377012446053,50
John Stones2023-11-04T15:00:00Z,John Stones,Man City,3.0257631030478107,53
Virgil van Dijk2023-11-05T16:30:00Z,Virgil van Dijk,Liverpool,2.8923071467046455,61
James Tarkowski2023-11-04T15:00:00Z,James Tarkowski,Everton,2.878423504728335,44
Diogo Dalot Teixeira2023-11-04T12:30:00Z,Diogo Dalot Teixeira,Man Utd,2.8636624953215906,49
William Saliba2023-11-04T17:30:00Z,William Saliba,Arsenal,2.857506297452733,52
Rúben Gato Alves Dias2023-11-04T15:00:00Z,Rúben Gato Alves Dias,Man City,2.842035218413825,55
Kristoffer Ajer2023-11-04T15:00:00Z,Kristoffer Ajer,Brentford,2.838308182166923,45
Lewis Dunk2023-11-04T15:00:00Z,Lewis Dunk,Brighton,2.82317918410707,50
Nathan Collins2023-11-04T15:00:00Z,Nathan Collins,Brentford,2.804685743804879,45
Cristian Romero2023-11-06T20:00:00Z,Cristian Romero,Spurs,2.799416687525672,49
Vitalii Mykolenko2023-11-04T15:00:00Z,Vitalii Mykolenko,Everton,2.7932356856830003,43
Joachim Andersen2023-11-04T15:00:00Z,Joachim Andersen,Crystal Palace,2.764582641446484,50
Pau Torres2023-11-05T14:00:00Z,Pau Torres,Aston Villa,2.7452823464138363,45
Oleksandr Zinchenko2023-11-04T17:30:00Z,Oleksandr Zinchenko,Arsenal,2.7346142591924885,49
Antonee Robinson2023-11-04T12:30:00Z,Antonee Robinson,Fulham,2.7277113192338454,44
Tim Ream2023-11-04T12:30:00Z,Tim Ream,Fulham,2.7117674803592715,45
Marc Cucurella Saseta2023-11-06T20:00:00Z,Marc Cucurella Saseta,Chelsea,2.497701473885446,48
Willy Boly2023-11-05T14:00:00Z,Willy Boly,Nott'm Forest,2.4847438624192666,45
Thiago Emiliano da Silva2023-11-06T20:00:00Z,Thiago Emiliano da Silva,Chelsea,2.469839551352375,50
