,name,team,minutes
2,Ederson Santana de Moraes,Man City,1
3,Scott Carson,Man City,0
24,Stefan Ortega Moreno,Man City,0
25,Zack Steffen,Man City,0
38,Caoimhin Kelleher,Liverpool,0
43,Adrián San Miguel del Castillo,Liverpool,0
50,Alisson Ramses Becker,Liverpool,1
57,Viljami Sinisalo,Aston Villa,0
62,Emiliano Martínez Romero,Aston Villa,1
79,Robin Olsen,Aston Villa,0
86,Jason Steele,Brighton,0
97,Karl Hein,Arsenal,0
100,Hugo Lloris,Spurs,0
103,Alfie Whiteman,Spurs,0
108,Guglielmo Vicario,Spurs,1
130,Fraser Forster,Spurs,0
145,Rúnar Alex Rúnarsson,Arsenal,0
153,Kjell Scherpen,Brighton,0
159,Loris Karius,Newcastle,0
160,Nick Pope,Newcastle,0
161,Tom McGill,Brighton,0
164,Mark Gillespie,Newcastle,0
165,Martin Dubravka,Newcastle,1
171,Karl Darlow,Newcastle,0
197,Brandon Austin,Spurs,0
206,David Raya Martin,Arsenal,1
214,Bart Verbruggen,Brighton,1
215,Aaron Ramsdale,Arsenal,0
233,Robert Sánchez,Chelsea,0
237,Marcus Bettinelli,Chelsea,0
238,Kepa Arrizabalaga,Chelsea,0
256,Bernd Leno,Fulham,1
262,Marek Rodák,Fulham,0
269,Lucas Bergström,Chelsea,0
270,Joseph Anang,West Ham,0
272,Alphonse Areola,West Ham,0
298,Lukasz Fabianski,West Ham,1
308,Gabriel Słonina,Chelsea,0
323,Mark Flekken,Brentford,1
335,Thomas Strakosha,Brentford,0
339,Ellery Balcombe,Brentford,0
348,Matthew Cox,Brentford,0
360,Andy Lonergan,Everton,0
376,João Neves Virgínia,Everton,0
377,Jordan Pickford,Everton,1
388,Mark Travers,Bournemouth,0
395,José Malheiro de Sá,Wolves,0
400,Matija Šarkić,Wolves,0
402,Daniel Bentley,Wolves,1
406,Norberto Murara Neto,Bournemouth,1
418,Darren Randolph,Bournemouth,0
423,Tom King,Wolves,0
429,Ionuț Radu,Bournemouth,0
450,Thomas Kaminski,Luton,1
461,Jack Walton,Luton,0
465,James Shea,Luton,0
482,Matt Macey,Luton,0
486,Arijanet Muric,Burnley,0
488,Bailey Peacock-Farrell,Burnley,0
499,James Trafford,Burnley,1
509,Lawrence Vigouroux,Burnley,0
531,André Onana,Man Utd,1
543,Tom Heaton,Man Utd,0
554,Denis Franchi,Burnley,0
557,George Shelvey,Nott'm Forest,0
568,Matt Turner,Nott'm Forest,1
581,Wayne Hennessey,Nott'm Forest,0
585,Ethan Horvath,Nott'm Forest,0
600,Dean Henderson,Crystal Palace,1
604,Remi Matthews,Crystal Palace,0
606,Vicente Guaita,Crystal Palace,0
623,Joe Whitworth,Crystal Palace,0
624,Sam Johnstone,Crystal Palace,0
637,Adam Davies,Sheffield Utd,0
640,Wes Foderingham,Sheffield Utd,1
647,Jordan Amissah,Sheffield Utd,0
