index,name,team,points,value
Erling Haaland2023-08-19T19:00:00Z,Erling Haaland,Man City,10.89394,140
Dominic Solanke2023-08-19T14:00:00Z,Dominic Solanke,Bournemouth,9.532177,65
Ollie Watkins2023-08-20T13:00:00Z,Ollie Watkins,Aston Villa,7.72393,80
Alexander Isak2023-08-19T19:00:00Z,Alexander Isak,Newcastle,7.641026,76
Odsonne Edouard2023-08-21T19:00:00Z,Odsonne Edouard,Crystal Palace,6.9537396,55
Julián Álvarez2023-08-19T19:00:00Z,Julián Álvarez,Man City,6.952494,65
Callum Wilson2023-08-19T19:00:00Z,Callum Wilson,Newcastle,6.7572417,80
Harry Kane2023-08-19T16:30:00Z,Harry Kane,Spurs,6.6397595,125
Aleksandar Mitrović2023-08-19T14:00:00Z,Aleksandar Mitrović,Fulham,5.317897,75
Danny Welbeck2023-08-19T14:00:00Z,Danny Welbeck,Brighton,5.285224,60
Ivan Toney2023-08-19T14:00:00Z,Ivan Toney,Brentford,4.7976055,80
Yoane Wissa2023-08-19T14:00:00Z,Yoane Wissa,Brentford,4.3873935,60
Eddie Nketiah2023-08-21T19:00:00Z,Eddie Nketiah,Arsenal,4.3492627,55
Cody Gakpo2023-08-19T14:00:00Z,Cody Gakpo,Liverpool,3.8929307,75
Neal Maupay2023-08-20T13:00:00Z,Neal Maupay,Everton,3.7761223,50
Darwin Núñez Ribeiro2023-08-19T14:00:00Z,Darwin Núñez Ribeiro,Liverpool,3.724621,75
Evan Ferguson2023-08-19T14:00:00Z,Evan Ferguson,Brighton,3.6996696,60
Gabriel Fernando de Jesus2023-08-21T19:00:00Z,Gabriel Fernando de Jesus,Arsenal,3.4345844,79
Danny Ings2023-08-20T15:30:00Z,Danny Ings,West Ham,3.0335958,60
Michail Antonio2023-08-20T15:30:00Z,Michail Antonio,West Ham,2.6813776,60
Matheus Santos Carneiro Da Cunha2023-08-19T14:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,2.567766,55
Taiwo Awoniyi2023-08-18T18:45:00Z,Taiwo Awoniyi,Nott'm Forest,2.467825,65
Fábio Silva2023-08-19T14:00:00Z,Fábio Silva,Wolves,2.0711858,55
Anthony Martial2023-08-19T16:30:00Z,Anthony Martial,Man Utd,1.8807504,65
Dominic Calvert-Lewin2023-08-20T13:00:00Z,Dominic Calvert-Lewin,Everton,1.5038922,59
Carlos Vinícius Alves Morais2023-08-19T14:00:00Z,Carlos Vinícius Alves Morais,Fulham,1.4255543,50
Bénie Traoré2023-08-18T18:45:00Z,Bénie Traoré,Sheffield Utd,1.3764577,55
Kieffer Moore2023-08-19T14:00:00Z,Kieffer Moore,Bournemouth,1.3397586,50
Chris Wood2023-08-18T18:45:00Z,Chris Wood,Nott'm Forest,1.2244527,50
Antoine Semenyo2023-08-19T14:00:00Z,Antoine Semenyo,Bournemouth,1.1436415,45
João Pedro Junqueira de Jesus2023-08-19T14:00:00Z,João Pedro Junqueira de Jesus,Brighton,1.0082936,55
Gianluca Scamacca2023-08-20T15:30:00Z,Gianluca Scamacca,West Ham,0.9917756,60
Alejo Véliz2023-08-19T16:30:00Z,Alejo Véliz,Spurs,0.75267714,55
Deniz Undav2023-08-19T14:00:00Z,Deniz Undav,Brighton,0.6419528,55
Emmanuel Dennis2023-08-18T18:45:00Z,Emmanuel Dennis,Nott'm Forest,0.5917881,50
Antwoine Hackford2023-08-18T18:45:00Z,Antwoine Hackford,Sheffield Utd,0.34770936,45
Armando Broja2023-08-20T15:30:00Z,Armando Broja,Chelsea,0.3219337,50
Raúl Jiménez2023-08-19T14:00:00Z,Raúl Jiménez,Fulham,0.26163083,55
Jean-Philippe Mateta2023-08-21T19:00:00Z,Jean-Philippe Mateta,Crystal Palace,0.20712835,50
Christopher Nkunku2023-08-20T15:30:00Z,Christopher Nkunku,Chelsea,0.15240014,74
Aaron Connolly2023-08-19T14:00:00Z,Aaron Connolly,Brighton,0.10608399,45
Andi Zeqiri2023-08-19T14:00:00Z,Andi Zeqiri,Brighton,-0.03108102,45
Dane Scarlett2023-08-19T16:30:00Z,Dane Scarlett,Spurs,-0.158665,45
Nicolas Jackson2023-08-20T15:30:00Z,Nicolas Jackson,Chelsea,-0.18070155,70
Ellis Simms2023-08-20T13:00:00Z,Ellis Simms,Everton,-0.18290895,45
Cameron Archer2023-08-20T13:00:00Z,Cameron Archer,Aston Villa,-0.24264252,45
Daniel Jebbison2023-08-18T18:45:00Z,Daniel Jebbison,Sheffield Utd,-0.26555037,50
David Datro Fofana2023-08-20T15:30:00Z,David Datro Fofana,Chelsea,-0.39273044,50
Divin Mubama2023-08-20T15:30:00Z,Divin Mubama,West Ham,-0.55344075,45
Iliman Ndiaye2023-08-18T18:45:00Z,Iliman Ndiaye,Sheffield Utd,-0.61807567,55
Jay Stansfield2023-08-19T14:00:00Z,Jay Stansfield,Fulham,-0.7066515,45
Hwang Ui-jo2023-08-18T18:45:00Z,Hwang Ui-jo,Nott'm Forest,-0.7289236,45
Folarin Balogun2023-08-21T19:00:00Z,Folarin Balogun,Arsenal,-0.8190616,45
Jhon Durán2023-08-20T13:00:00Z,Jhon Durán,Aston Villa,-0.89764994,50
John-Kymani Gordon2023-08-21T19:00:00Z,John-Kymani Gordon,Crystal Palace,-0.9361256,45
Halil Dervişoğlu2023-08-19T14:00:00Z,Halil Dervişoğlu,Brentford,-0.9602218,45
Louie Marsh2023-08-18T18:45:00Z,Louie Marsh,Sheffield Utd,-1.0292163,45
Pierre-Emerick Aubameyang2023-08-20T15:30:00Z,Pierre-Emerick Aubameyang,Chelsea,-1.0927029,65
Mason Burstow2023-08-20T15:30:00Z,Mason Burstow,Chelsea,-1.1331203,45
Rasmus Højlund2023-08-19T16:30:00Z,Rasmus Højlund,Man Utd,-1.1401601,70
William Osula2023-08-18T18:45:00Z,William Osula,Sheffield Utd,-1.1888242,45
Keinan Davis2023-08-20T13:00:00Z,Keinan Davis,Aston Villa,-1.3562622,50
Sasa Kalajdzic2023-08-19T14:00:00Z,Sasa Kalajdzic,Wolves,-1.5260286,50
Oliver McBurnie2023-08-18T18:45:00Z,Oliver McBurnie,Sheffield Utd,-1.6520886,55
Romelu Lukaku Bolingoli2023-08-20T15:30:00Z,Romelu Lukaku Bolingoli,Chelsea,-1.6651387,70
Luke Plange2023-08-21T19:00:00Z,Luke Plange,Crystal Palace,-1.7240174,45
Sam Surridge2023-08-18T18:45:00Z,Sam Surridge,Nott'm Forest,-1.7397487,45
Rhian Brewster2023-08-18T18:45:00Z,Rhian Brewster,Sheffield Utd,-1.8921866,50
Youssef Ramalho Chermiti2023-08-20T13:00:00Z,Youssef Ramalho Chermiti,Everton,-1.9175715,50
Thomas Cannon2023-08-20T13:00:00Z,Thomas Cannon,Everton,-2.0375388,45
Wesley Moraes Ferreira da Silva2023-08-20T13:00:00Z,Wesley Moraes Ferreira da Silva,Aston Villa,-2.2377875,50
Rodrigo Muniz Carvalho2023-08-19T14:00:00Z,Rodrigo Muniz Carvalho,Fulham,-2.4091604,45
Shola Shoretire2023-08-19T16:30:00Z,Shola Shoretire,Man Utd,-2.5208697,45
