index,name,team,points,value
Bénie Traoré2023-08-27T13:00:00Z,Bénie Traoré,Sheffield Utd,2.1681933,55
Antoine Semenyo2023-08-26T11:30:00Z,Antoine Semenyo,Bournemouth,1.8061432,45
Fábio Silva2023-08-26T14:00:00Z,Fábio Silva,Wolves,1.4455152,55
Lyle Foster2023-09-02T14:00:00Z,Lyle Foster,Burnley,1.4447668,50
João Pedro Junqueira de Jesus2023-08-26T16:30:00Z,João Pedro Junqueira de Jesus,Brighton,1.0268905,56
William Osula2023-08-27T13:00:00Z,William Osula,Sheffield Utd,0.95699966,45
Jhon Durán2023-08-27T13:00:00Z,Jhon Durán,Aston Villa,0.6196755,50
Zeki Amdouni2023-09-02T14:00:00Z,Zeki Amdouni,Burnley,0.57987547,55
Antwoine Hackford2023-08-27T13:00:00Z,Antwoine Hackford,Sheffield Utd,0.54732454,45
Matheus Santos Carneiro Da Cunha2023-08-26T14:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,0.5470594,55
Eddie Nketiah2023-08-26T14:00:00Z,Eddie Nketiah,Arsenal,0.3170682,56
Aaron Connolly2023-08-26T16:30:00Z,Aaron Connolly,Brighton,0.2858415,45
Andi Zeqiri2023-08-26T16:30:00Z,Andi Zeqiri,Brighton,0.22995815,45
Daniel Jebbison2023-08-27T13:00:00Z,Daniel Jebbison,Sheffield Utd,0.17555097,49
Iliman Ndiaye2023-08-27T13:00:00Z,Iliman Ndiaye,Sheffield Utd,0.064242214,55
Halil Dervişoğlu2023-08-26T14:00:00Z,Halil Dervişoğlu,Brentford,0.02998057,45
Hwang Ui-jo2023-08-26T14:00:00Z,Hwang Ui-jo,Nott'm Forest,-0.04776898,45
Alexander Isak2023-08-27T15:30:00Z,Alexander Isak,Newcastle,-0.07358828,77
Jay Rodriguez2023-09-02T14:00:00Z,Jay Rodriguez,Burnley,-0.08194569,54
Folarin Balogun2023-08-26T14:00:00Z,Folarin Balogun,Arsenal,-0.086514145,45
Sasa Kalajdzic2023-08-26T14:00:00Z,Sasa Kalajdzic,Wolves,-0.17045537,50
Rasmus Højlund2023-08-26T14:00:00Z,Rasmus Højlund,Man Utd,-0.23551956,70
Louie Marsh2023-08-27T13:00:00Z,Louie Marsh,Sheffield Utd,-0.2705752,45
Chris Wood2023-08-26T14:00:00Z,Chris Wood,Nott'm Forest,-0.35350552,50
Oliver McBurnie2023-08-27T13:00:00Z,Oliver McBurnie,Sheffield Utd,-0.35703233,55
Michael Obafemi2023-09-02T14:00:00Z,Michael Obafemi,Burnley,-0.42093733,49
Rhian Brewster2023-08-27T13:00:00Z,Rhian Brewster,Sheffield Utd,-0.48860136,49
Shola Shoretire2023-08-26T14:00:00Z,Shola Shoretire,Man Utd,-0.49258915,45
Yoane Wissa2023-08-26T14:00:00Z,Yoane Wissa,Brentford,-0.68270004,61
Wesley Moraes Ferreira da Silva2023-08-27T13:00:00Z,Wesley Moraes Ferreira da Silva,Aston Villa,-0.72578096,50
Sam Surridge2023-08-26T14:00:00Z,Sam Surridge,Nott'm Forest,-0.9243871,45
Evan Ferguson2023-08-26T16:30:00Z,Evan Ferguson,Brighton,-0.9376701,60
Pierre-Emerick Aubameyang2023-08-25T19:00:00Z,Pierre-Emerick Aubameyang,Chelsea,-1.0295469,65
Taiwo Awoniyi2023-08-26T14:00:00Z,Taiwo Awoniyi,Nott'm Forest,-1.0814255,65
Deniz Undav2023-08-26T16:30:00Z,Deniz Undav,Brighton,-1.1600646,55
Anthony Martial2023-08-26T14:00:00Z,Anthony Martial,Man Utd,-1.3214301,65
Emmanuel Dennis2023-08-26T14:00:00Z,Emmanuel Dennis,Nott'm Forest,-1.5221609,49
Erling Haaland2023-08-27T13:00:00Z,Erling Haaland,Man City,-2.0681896,140
Wout Weghorst2023-09-02T14:00:00Z,Wout Weghorst,Burnley,-2.2179503,55
Kieffer Moore2023-08-26T11:30:00Z,Kieffer Moore,Bournemouth,-2.2428498,49
Callum Wilson2023-08-27T15:30:00Z,Callum Wilson,Newcastle,-2.4193478,79
Danny Welbeck2023-08-26T16:30:00Z,Danny Welbeck,Brighton,-2.56886,59
Dominic Solanke2023-08-26T11:30:00Z,Dominic Solanke,Bournemouth,-3.358368,65
Ollie Watkins2023-08-27T13:00:00Z,Ollie Watkins,Aston Villa,-4.6119614,80
Gabriel Fernando de Jesus2023-08-26T14:00:00Z,Gabriel Fernando de Jesus,Arsenal,-5.227703,79
Ivan Toney2023-08-26T14:00:00Z,Ivan Toney,Brentford,-6.685791,79
Harry Kane2023-08-26T11:30:00Z,Harry Kane,Spurs,-6.9561253,125
