index,name,team,points,value
Moussa Diaby2023-08-27T13:00:00Z,Moussa Diaby,Aston Villa,2.19272,66
Ben Osborn2023-08-27T13:00:00Z,Ben Osborn,Sheffield Utd,2.115138,50
Mateo Kovačić2023-08-27T13:00:00Z,Mateo Kovačić,Man City,1.9159728,50
Josh Cullen2023-09-02T14:00:00Z,Josh Cullen,Burnley,1.617446,50
Sandro Tonali2023-08-27T15:30:00Z,Sandro Tonali,Newcastle,1.3771843,55
David Brooks2023-08-26T11:30:00Z,David Brooks,Bournemouth,1.3171276,50
Sander Berge2023-09-02T14:00:00Z,Sander Berge,Burnley,1.175615,49
Alejandro Garnacho2023-08-26T14:00:00Z,Alejandro Garnacho,Man Utd,1.0046669,50
Luca Koleosho2023-09-02T14:00:00Z,Luca Koleosho,Burnley,0.9820312,50
Vini de Souza Costa2023-08-27T13:00:00Z,Vini de Souza Costa,Sheffield Utd,0.89504564,50
Pedro Lomba Neto2023-08-26T14:00:00Z,Pedro Lomba Neto,Wolves,0.85932577,55
Andre Brooks2023-08-27T13:00:00Z,Andre Brooks,Sheffield Utd,0.76842356,45
Justin Kluivert2023-08-26T11:30:00Z,Justin Kluivert,Bournemouth,0.7352501,49
Billy Gilmour2023-08-26T16:30:00Z,Billy Gilmour,Brighton,0.70912707,50
Mahmoud Dahoud2023-08-26T16:30:00Z,Mahmoud Dahoud,Brighton,0.6880498,50
Alex Mighten2023-08-26T14:00:00Z,Alex Mighten,Nott'm Forest,0.61526227,45
João Victor Gomes da Silva2023-08-26T14:00:00Z,João Victor Gomes da Silva,Wolves,0.60249305,50
Facundo Pellistri Rebollo2023-08-26T14:00:00Z,Facundo Pellistri Rebollo,Man Utd,0.57938564,45
Pablo Sarabia2023-08-26T14:00:00Z,Pablo Sarabia,Wolves,0.57791245,50
Andrey Nascimento dos Santos2023-08-25T19:00:00Z,Andrey Nascimento dos Santos,Nott'm Forest,0.5639833,44
Amad Diallo2023-08-26T14:00:00Z,Amad Diallo,Man Utd,0.563599,45
Anthony Elanga2023-08-26T14:00:00Z,Anthony Elanga,Nott'm Forest,0.546334,50
Jacob Bruun Larsen2023-09-02T14:00:00Z,Jacob Bruun Larsen,Burnley,0.536872,49
Gustavo Hamer2023-09-02T11:30:00Z,Gustavo Hamer,Sheffield Utd,0.5049813,50
Braian Ojeda Rodríguez2023-08-26T14:00:00Z,Braian Ojeda Rodríguez,Nott'm Forest,0.503435,45
Anass Zaroury2023-09-02T14:00:00Z,Anass Zaroury,Burnley,0.4791123,49
Anis Slimane2023-08-27T13:00:00Z,Anis Slimane,Sheffield Utd,0.4602405,49
Danilo dos Santos de Oliveira2023-08-26T14:00:00Z,Danilo dos Santos de Oliveira,Nott'm Forest,0.3785158,55
Joe Rothwell2023-08-26T11:30:00Z,Joe Rothwell,Bournemouth,0.36480865,50
Alex Scott2023-08-26T11:30:00Z,Alex Scott,Bournemouth,0.33798125,50
Brandon Aguilera Zamora2023-08-26T14:00:00Z,Brandon Aguilera Zamora,Nott'm Forest,0.3277866,45
Francisco Jorge Tomás Oliveira2023-08-26T14:00:00Z,Francisco Jorge Tomás Oliveira,Wolves,0.32716736,45
Bruno Cavaco Jordão2023-08-26T14:00:00Z,Bruno Cavaco Jordão,Wolves,0.32337508,45
Emiliano Marcondes2023-08-26T11:30:00Z,Emiliano Marcondes,Bournemouth,0.29535493,45
Bryan Gil Salvatierra2023-08-26T11:30:00Z,Bryan Gil Salvatierra,Spurs,0.29318628,50
Simon Adingra2023-08-26T16:30:00Z,Simon Adingra,Brighton,0.2780815,50
Yves Bissouma2023-08-26T11:30:00Z,Yves Bissouma,Spurs,0.26477548,50
Garang Kuol2023-08-27T15:30:00Z,Garang Kuol,Newcastle,0.25207373,45
Harry Arter2023-08-26T14:00:00Z,Harry Arter,Nott'm Forest,0.24572435,45
Jaden Philogene-Bidace2023-08-27T13:00:00Z,Jaden Philogene-Bidace,Aston Villa,0.2342343,45
Dara Costelloe2023-09-02T14:00:00Z,Dara Costelloe,Burnley,0.17743024,45
