index,name,team,points,value
Thomas Kaminski2023-10-03T18:30:00Z,Thomas Kaminski,Luton,4.348520129406216,45
Nick Pope2023-09-30T14:00:00Z,Nick Pope,Newcastle,4.110544194704586,55
Ederson Santana de Moraes2023-09-30T14:00:00Z,Ederson Santana de Moraes,Man City,3.704156004898231,56
Alisson Ramses Becker2023-09-30T16:30:00Z,Alisson Ramses Becker,Liverpool,3.5978188752774902,55
Bernd Leno2023-10-02T19:00:00Z,Bernd Leno,Fulham,3.5116186479687737,47
Jordan Pickford2023-09-30T14:00:00Z,Jordan Pickford,Everton,3.5098974274340997,44
Robert Sánchez2023-10-02T19:00:00Z,Robert Sánchez,Chelsea,3.4830914347635553,46
Emiliano Martínez Romero2023-09-30T11:30:00Z,Emiliano Martínez Romero,Aston Villa,3.448597985813897,49
Alphonse Areola2023-09-30T14:00:00Z,Alphonse Areola,West Ham,3.4342492150361843,42
José Malheiro de Sá2023-09-30T14:00:00Z,José Malheiro de Sá,Wolves,3.322435450639262,50
André Onana2023-09-30T14:00:00Z,André Onana,Man Utd,3.3158781054501287,49
Norberto Murara Neto2023-09-30T14:00:00Z,Norberto Murara Neto,Bournemouth,3.2426478826043437,45
Wes Foderingham2023-09-30T14:00:00Z,Wes Foderingham,Sheffield Utd,3.1867476755828004,45
Guglielmo Vicario2023-09-30T16:30:00Z,Guglielmo Vicario,Spurs,3.1146073292465157,51
James Trafford2023-10-03T18:30:00Z,James Trafford,Burnley,3.1144507241962254,45
Mark Flekken2023-10-01T13:00:00Z,Mark Flekken,Brentford,2.8882292058489796,45
David Raya Martin2023-09-30T14:00:00Z,David Raya Martin,Arsenal,2.8529560101435436,48
Sam Johnstone2023-09-30T14:00:00Z,Sam Johnstone,Crystal Palace,2.7689305411787335,45
Matt Turner2023-10-01T13:00:00Z,Matt Turner,Nott'm Forest,2.6781603342511318,40
Bart Verbruggen2023-09-30T11:30:00Z,Bart Verbruggen,Brighton,2.0404903568307167,44
Aaron Ramsdale2023-09-30T14:00:00Z,Aaron Ramsdale,Arsenal,1.6645998489050347,49
Jason Steele2023-09-30T11:30:00Z,Jason Steele,Brighton,1.3628934194794389,44
Lukasz Fabianski2023-09-30T14:00:00Z,Lukasz Fabianski,West Ham,0.6930402463510361,43
Kepa Arrizabalaga2023-10-02T19:00:00Z,Kepa Arrizabalaga,Chelsea,0.5115918463910052,50
João Neves Virgínia2023-09-30T14:00:00Z,João Neves Virgínia,Everton,0.3695873994152987,39
James Shea2023-10-03T18:30:00Z,James Shea,Luton,0.294096553758076,44
Vicente Guaita2023-09-30T14:00:00Z,Vicente Guaita,Crystal Palace,0.23898475134237418,44
Andy Lonergan2023-09-30T14:00:00Z,Andy Lonergan,Everton,0.22946135967486403,40
Jack Walton2023-10-03T18:30:00Z,Jack Walton,Luton,0.2121360064982618,40
Matt Macey2023-10-03T18:30:00Z,Matt Macey,Luton,0.20373217487031248,40
Hugo Lloris2023-09-30T16:30:00Z,Hugo Lloris,Spurs,0.18939407088164195,48
Karl Darlow2023-09-30T14:00:00Z,Karl Darlow,Newcastle,0.18868526787109463,40
Loris Karius2023-09-30T14:00:00Z,Loris Karius,Newcastle,0.18691604015994745,40
Martin Dubravka2023-09-30T14:00:00Z,Martin Dubravka,Newcastle,0.1579036348814502,39
Rúnar Alex Rúnarsson2023-09-30T14:00:00Z,Rúnar Alex Rúnarsson,Arsenal,0.15541589775599474,40
Ethan Horvath2023-10-01T13:00:00Z,Ethan Horvath,Nott'm Forest,0.14838952059169275,44
Ionuț Radu2023-09-30T14:00:00Z,Ionuț Radu,Bournemouth,0.14457683377367503,44
Joseph Anang2023-09-30T14:00:00Z,Joseph Anang,West Ham,0.14153222060231974,40
Mark Gillespie2023-09-30T14:00:00Z,Mark Gillespie,Newcastle,0.12920359011569948,39
Ellery Balcombe2023-10-01T13:00:00Z,Ellery Balcombe,Brentford,0.06681571009206244,40
Matthew Cox2023-10-01T13:00:00Z,Matthew Cox,Brentford,0.056995586896671724,40
Karl Hein2023-09-30T14:00:00Z,Karl Hein,Arsenal,0.05672845801639581,40
Arijanet Muric2023-10-03T18:30:00Z,Arijanet Muric,Burnley,0.05651737653174349,44
Stefan Ortega Moreno2023-09-30T14:00:00Z,Stefan Ortega Moreno,Man City,0.04662131794606994,39
Adam Davies2023-09-30T14:00:00Z,Adam Davies,Sheffield Utd,0.045934765685318846,40
Marek Rodák2023-10-02T19:00:00Z,Marek Rodák,Fulham,0.04262853209458517,40
Jordan Amissah2023-09-30T14:00:00Z,Jordan Amissah,Sheffield Utd,0.03166031483401721,40
Gabriel Słonina2023-10-02T19:00:00Z,Gabriel Słonina,Chelsea,0.00169322757577961,40
Tom Heaton2023-09-30T14:00:00Z,Tom Heaton,Man Utd,-0.004373087688061883,40
Lucas Bergström2023-10-02T19:00:00Z,Lucas Bergström,Chelsea,-0.0067709186332316484,40
Scott Carson2023-09-30T14:00:00Z,Scott Carson,Man City,-0.01096487740029739,39
Thomas Strakosha2023-10-01T13:00:00Z,Thomas Strakosha,Brentford,-0.015612206698066178,39
