,name,team,minutes
4,Aaron Connolly,Brighton,0
6,Andi Zeqiri,Brighton,0
15,Deniz Undav,Brighton,0
16,Danny Welbeck,Brighton,1
23,João Pedro Junqueira de Jesus,Brighton,1
26,Evan Ferguson,Brighton,1
36,Alejo Véliz,Spurs,1
37,Dane Scarlett,Spurs,0
61,Jhon Durán,Aston Villa,0
66,Callum Wilson,Newcastle,1
69,Wesley Moraes Ferreira da Silva,Aston Villa,0
79,Alexander Isak,Newcastle,1
102,Ollie Watkins,Aston Villa,1
136,Julián Álvarez,Man City,1
137,Keinan Davis,Aston Villa,0
154,Harry Kane,Spurs,0
156,Erling Haaland,Man City,1
168,Cody Gakpo,Liverpool,0
175,Darwin Núñez Ribeiro,Liverpool,1
203,Gabriel Fernando de Jesus,Arsenal,1
223,Folarin Balogun,Arsenal,0
224,Eddie Nketiah,Arsenal,1
236,Danny Ings,West Ham,0
246,Divin Mubama,West Ham,0
251,Michail Antonio,West Ham,1
255,Gianluca Scamacca,West Ham,0
262,Halil Dervişoğlu,Brentford,0
271,Yoane Wissa,Brentford,1
281,Ivan Toney,Brentford,0
291,Cameron Archer,Sheffield Utd,1
293,Michael Obafemi,Burnley,0
307,Zeki Amdouni,Burnley,0
309,Lyle Foster,Burnley,1
310,Wout Weghorst,Burnley,0
316,Jay Rodriguez,Burnley,0
328,Thomas Cannon,Everton,0
329,Youssef Ramalho Chermiti,Everton,0
347,Matheus Santos Carneiro Da Cunha,Wolves,1
363,Chris Wood,Nott'm Forest,1
366,Taiwo Awoniyi,Nott'm Forest,0
367,Hwang Ui-jo,Nott'm Forest,0
374,Sam Surridge,Nott'm Forest,0
378,Fábio Silva,Wolves,0
385,Emmanuel Dennis,Nott'm Forest,0
388,Sasa Kalajdzic,Wolves,1
404,Odsonne Edouard,Crystal Palace,1
406,Admiral Muskwe,Luton,0
411,Anthony Martial,Man Utd,1
413,Pierre-Emerick Aubameyang,Chelsea,0
426,Rasmus Højlund,Man Utd,1
438,Shola Shoretire,Man Utd,0
446,Aribim Pepple,Luton,0
463,Joe Taylor,Luton,0
468,John McAtee,Luton,0
469,John-Kymani Gordon,Crystal Palace,0
488,Jacob Brown,Luton,1
496,Chiedozie Ogbene,Luton,1
501,Cauley Woodrow,Luton,1
503,Carlton Morris,Luton,1
505,Jean-Philippe Mateta,Crystal Palace,1
510,Ellis Simms,Everton,0
514,Luke Plange,Crystal Palace,0
516,Elijah Adebayo,Luton,1
524,Dominic Calvert-Lewin,Everton,1
539,Louie Marsh,Sheffield Utd,0
540,Antwoine Hackford,Sheffield Utd,0
544,Dominic Solanke,Bournemouth,1
553,Daniel Jebbison,Sheffield Utd,0
559,Kieffer Moore,Bournemouth,1
561,Antoine Semenyo,Bournemouth,0
566,Bénie Traoré,Sheffield Utd,0
571,Rhian Brewster,Sheffield Utd,0
573,William Osula,Sheffield Utd,0
579,Oliver McBurnie,Sheffield Utd,1
581,Iliman Ndiaye,Sheffield Utd,0
601,David Datro Fofana,Chelsea,0
604,Romelu Lukaku Bolingoli,Chelsea,0
609,Nicolas Jackson,Chelsea,1
612,Neal Maupay,Brentford,1
615,Armando Broja,Chelsea,1
623,Christopher Nkunku,Chelsea,0
629,Mason Burstow,Chelsea,0
636,Rodrigo Muniz Carvalho,Fulham,1
637,Aleksandar Mitrović,Fulham,0
649,Raúl Jiménez,Fulham,0
655,Carlos Vinícius Alves Morais,Fulham,1
656,Jay Stansfield,Fulham,0
