,name,team,minutes
0,Fodé Ballo-Touré,Fulham,0.0
1,Timothy Castagne,Fulham,90.0
7,Manuel Akanji,Man City,90.0
8,Rúben Gato Alves Dias,Man City,90.0
13,Rico Lewis,Man City,0.0
15,Nathan Aké,Man City,90.0
18,João Cancelo,Man City,0.0
19,Sergio Gómez,Man City,0.0
20,John Stones,Man City,0.0
22,Aymeric Laporte,Man City,0.0
25,Kyle Walker,Man City,90.0
31,Joško Gvardiol,Man City,0.0
33,Bashir Humphreys,Chelsea,0.0
40,Diego Carlos Santos Silva,Aston Villa,90.0
41,Ezri Konsa Ngoyo,Aston Villa,90.0
45,Calum Chambers,Aston Villa,0.0
47,Matty Cash,Aston Villa,45.0
48,Kortney Hause,Aston Villa,0.0
53,Lucas Digne,Aston Villa,90.0
61,Tyrone Mings,Aston Villa,0.0
65,Alexandre Moreno Lopera,Aston Villa,0.0
67,Pau Torres,Aston Villa,90.0
68,Jarell Quansah,Liverpool,0.0
72,Javier Manquillo Gaitán,Newcastle,0.0
73,Dan Burn,Newcastle,0.0
79,Joel Matip,Liverpool,90.0
81,Joe Gomez,Liverpool,0.0
84,Sepp van den Berg,Liverpool,0.0
85,Konstantinos Tsimikas,Liverpool,90.0
88,Trent Alexander-Arnold,Liverpool,90.0
92,Nathaniel Phillips,Liverpool,0.0
95,Virgil van Dijk,Liverpool,90.0
96,Andrew Robertson,Liverpool,0.0
99,Ibrahima Konaté,Liverpool,0.0
101,Harrison Ashby,Newcastle,0.0
105,Emil Krafth,Newcastle,0.0
107,Jamal Lewis,Newcastle,0.0
111,Fabian Schär,Newcastle,90.0
112,Jamaal Lascelles,Newcastle,85.0
114,Sven Botman,Newcastle,0.0
119,Matt Targett,Newcastle,0.0
123,Paul Dummett,Newcastle,4.0
125,Kieran Trippier,Newcastle,90.0
127,Kell Watts,Newcastle,0.0
138,Gabriel dos Santos Magalhães,Arsenal,90.0
140,Benjamin White,Arsenal,1.0
142,Jakub Kiwior,Arsenal,0.0
147,William Saliba,Arsenal,90.0
149,Cédric Alves Soares,Arsenal,0.0
152,Jurriën Timber,Arsenal,0.0
154,Takehiro Tomiyasu,Arsenal,90.0
155,Oleksandr Zinchenko,Arsenal,90.0
159,Kieran Tierney,Arsenal,0.0
168,Michał Karbownik,Brighton,0.0
172,Pervis Estupiñán,Brighton,0.0
174,Igor Julio dos Santos de Paulo,Brighton,0.0
178,Lewis Dunk,Brighton,72.0
181,Jan Paul van Hecke,Brighton,90.0
185,Tariq Lamptey,Brighton,34.0
189,Joël Veltman,Brighton,90.0
196,Adam Webster,Brighton,0.0
199,Alex Murphy,Newcastle,3.0
202,Ashley Phillips,Spurs,0.0
209,Cristian Romero,Spurs,0.0
212,Ryan Sessegnon,Spurs,0.0
218,Lewis Hall,Newcastle,0.0
220,Davinson Sánchez,Spurs,0.0
223,Pedro Porro,Spurs,90.0
227,Ben Davies,Spurs,90.0
230,Joe Rodon,Spurs,0.0
232,Ivan Perišić,Spurs,0.0
234,Micky van de Ven,Spurs,0.0
235,Emerson Leite de Souza Junior,Spurs,90.0
239,Djed Spence,Spurs,0.0
245,Eric Dier,Spurs,0.0
247,Tino Livramento,Newcastle,90.0
248,Japhet Tanganga,Spurs,0.0
251,Destiny Udogie,Spurs,90.0
255,Ethan Ampadu,Chelsea,0.0
258,César Azpilicueta,Chelsea,0.0
259,Benoît Badiashile,Chelsea,90.0
261,Abdul Rahman Baba,Chelsea,0.0
269,Ben Johnson,West Ham,0.0
270,Marc Cucurella Saseta,Chelsea,90.0
272,Malo Gusto,Chelsea,0.0
273,Malang Sarr,Chelsea,0.0
276,Levi Colwill,Chelsea,15.0
278,Kurt Zouma,West Ham,90.0
285,Ben Chilwell,Chelsea,0.0
290,Reece James,Chelsea,72.0
297,Thiago Emiliano da Silva,Chelsea,90.0
298,Thilo Kehrer,West Ham,0.0
302,Trevoh Chalobah,Chelsea,0.0
303,Emerson Palmieri dos Santos,West Ham,90.0
304,Vladimír Coufal,West Ham,90.0
305,Wesley Fofana,Chelsea,0.0
307,Aaron Cresswell,West Ham,0.0
308,Angelo Ogbonna,West Ham,0.0
309,Nayef Aguerd,West Ham,90.0
313,Axel Disasi,Chelsea,0.0
320,Charlie Goode,Brentford,0.0
322,Mathias Jorgensen,Brentford,1.0
325,Aaron Hickey,Brentford,0.0
332,Mads Bech Sørensen,Brentford,0.0
333,Ben Mee,Brentford,90.0
334,Kristoffer Ajer,Brentford,90.0
338,Nathan Collins,Brentford,0.0
340,Rico Henry,Brentford,0.0
341,Mads Roerslev Rasmussen,Brentford,0.0
344,Ethan Pinnock,Brentford,90.0
352,Konstantinos Mavropanos,West Ham,0.0
354,Clément Lenglet,Aston Villa,0.0
363,Ki-Jana Hoever,Wolves,0.0
372,Craig Dawson,Wolves,0.0
378,Rayan Aït-Nouri,Wolves,18.0
379,Bendegúz Bolla,Wolves,0.0
386,Nélson Cabral Semedo,Wolves,90.0
387,Matt Doherty,Wolves,71.0
391,Max Kilman,Wolves,90.0
392,Toti António Gomes,Wolves,90.0
393,Hugo Bueno López,Wolves,0.0
394,Jonathan Castro Otto,Wolves,0.0
399,James Tarkowski,Everton,90.0
401,Nathan Patterson,Everton,17.0
402,Seamus Coleman,Everton,0.0
404,Ashley Young,Everton,72.0
409,Vitalii Mykolenko,Everton,90.0
410,Jarrad Branthwaite,Everton,90.0
411,Michael Keane,Everton,0.0
412,Mason Holgate,Everton,0.0
414,Ben Godfrey,Everton,0.0
419,Rob Holding,Crystal Palace,0.0
420,Sergio Reguilón,Man Utd,0.0
424,Josh Powell,Nott'm Forest,0.0
426,Omar Richards,Nott'm Forest,0.0
428,Olu Aina,Nott'm Forest,89.0
431,Giulian Biancone,Nott'm Forest,0.0
433,Richie Laryea,Nott'm Forest,0.0
434,Neco Williams,Nott'm Forest,1.0
436,Mohamed Dräger,Nott'm Forest,0.0
437,Harry Toffolo,Nott'm Forest,90.0
441,Nuno Varela Tavares,Nott'm Forest,0.0
442,Moussa Niakhaté,Nott'm Forest,90.0
443,Scott McKenna,Nott'm Forest,0.0
448,Felipe Augusto de Almeida Monteiro,Nott'm Forest,0.0
449,Steve Cook,Nott'm Forest,0.0
454,Serge Aurier,Nott'm Forest,0.0
460,Jonathan Panzo,Nott'm Forest,0.0
461,Willy Boly,Nott'm Forest,0.0
464,Joe Worrall,Nott'm Forest,0.0
465,Loïc Mbe Soh,Nott'm Forest,0.0
469,Álvaro Fernández Carreras,Man Utd,0.0
475,Eric Bailly,Man Utd,0.0
476,Victor Lindelöf,Man Utd,90.0
477,Aaron Wan-Bissaka,Man Utd,14.0
478,Tyrell Malacia,Man Utd,0.0
479,Diogo Dalot Teixeira,Man Utd,90.0
