index,name,team,points,value
Erling Haaland2023-11-25T12:30:00Z,Erling Haaland,Man City,6.6913329981778125,140
Dominic Solanke2023-11-25T15:00:00Z,Dominic Solanke,Bournemouth,4.617523078308262,65
Ollie Watkins2023-11-26T14:00:00Z,Ollie Watkins,Aston Villa,4.499404249043581,85
Julián Álvarez2023-11-25T12:30:00Z,Julián Álvarez,Man City,4.164087739707511,71
Nicolas Jackson2023-11-25T15:00:00Z,Nicolas Jackson,Chelsea,3.79119461075159,69
Taiwo Awoniyi2023-11-25T15:00:00Z,Taiwo Awoniyi,Nott'm Forest,3.5718085321072537,64
Callum Wilson2023-11-25T15:00:00Z,Callum Wilson,Newcastle,3.3741377927228418,79
Darwin Núñez Ribeiro2023-11-25T12:30:00Z,Darwin Núñez Ribeiro,Liverpool,3.327890713656232,76
Matheus Santos Carneiro Da Cunha2023-11-27T20:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,3.211385610318879,55
Dominic Calvert-Lewin2023-11-26T16:30:00Z,Dominic Calvert-Lewin,Everton,3.0281533830794882,58
Odsonne Edouard2023-11-25T15:00:00Z,Odsonne Edouard,Crystal Palace,2.7032979633223073,55
Rasmus Højlund2023-11-26T16:30:00Z,Rasmus Højlund,Man Utd,2.671954880061917,71
Neal Maupay2023-11-25T17:30:00Z,Neal Maupay,Brentford,2.5963946225483365,49
Jay Rodriguez2023-11-25T15:00:00Z,Jay Rodriguez,Burnley,2.4979859616018043,53
Norberto Bercique Gomes Betuncal2023-12-10T14:00:00Z,Norberto Bercique Gomes Betuncal,Everton,2.4839694639142618,57
Yoane Wissa2023-11-25T17:30:00Z,Yoane Wissa,Brentford,2.4830077061989804,59
Cameron Archer2023-11-25T15:00:00Z,Cameron Archer,Sheffield Utd,2.441076630765254,46
Carlton Morris2023-11-25T15:00:00Z,Carlton Morris,Luton,2.3989623498208412,53
Chiedozie Ogbene2023-11-25T15:00:00Z,Chiedozie Ogbene,Luton,2.3578118384655515,49
Antoine Semenyo2023-11-25T15:00:00Z,Antoine Semenyo,Bournemouth,2.2965640564483647,45
Raúl Jiménez2023-11-27T20:00:00Z,Raúl Jiménez,Fulham,2.1718678921474064,52
Zeki Amdouni2023-11-25T15:00:00Z,Zeki Amdouni,Burnley,2.0194399894679065,53
Evan Ferguson2023-11-25T15:00:00Z,Evan Ferguson,Brighton,1.9632361351261778,61
Eddie Nketiah2023-11-25T17:30:00Z,Eddie Nketiah,Arsenal,1.9176463767753424,57
Cody Gakpo2023-11-25T12:30:00Z,Cody Gakpo,Liverpool,1.8871788700797179,72
Michail Antonio2023-11-25T15:00:00Z,Michail Antonio,West Ham,1.5932772096738141,58
Rodrigo Muniz Carvalho2023-11-27T20:00:00Z,Rodrigo Muniz Carvalho,Fulham,1.4969629101172626,44
João Pedro Junqueira de Jesus2023-11-25T15:00:00Z,João Pedro Junqueira de Jesus,Brighton,1.481295177960718,53
Anthony Martial2023-11-26T16:30:00Z,Anthony Martial,Man Utd,1.4394689282938224,64
Carlos Vinícius Alves Morais2023-11-27T20:00:00Z,Carlos Vinícius Alves Morais,Fulham,1.1219717392916928,47
Danny Ings2023-11-25T15:00:00Z,Danny Ings,West Ham,1.0758593593090084,56
Rhian Brewster2023-11-25T15:00:00Z,Rhian Brewster,Sheffield Utd,1.041769003829228,49
Sasa Kalajdzic2023-11-27T20:00:00Z,Sasa Kalajdzic,Wolves,1.032563975619623,49
Chris Wood2023-11-25T15:00:00Z,Chris Wood,Nott'm Forest,0.9246643163978794,49
Elijah Adebayo2023-11-25T15:00:00Z,Elijah Adebayo,Luton,0.8624552698835785,48
Harry Kane2023-11-26T14:00:00Z,Harry Kane,Spurs,0.7811701625410957,125
Jean-Philippe Mateta2023-11-25T15:00:00Z,Jean-Philippe Mateta,Crystal Palace,0.7793103146447294,49
Jacob Brown2023-11-25T15:00:00Z,Jacob Brown,Luton,0.7774366060440766,49
Gabriel Fernando de Jesus2023-11-25T17:30:00Z,Gabriel Fernando de Jesus,Arsenal,0.7279760029102126,78
Divock Origi2023-12-15T20:00:00Z,Divock Origi,Nott'm Forest,0.711556869247439,50
Armando Broja2023-11-25T15:00:00Z,Armando Broja,Chelsea,0.6935049280790921,49
Alexander Isak2023-11-25T15:00:00Z,Alexander Isak,Newcastle,0.5632121122510846,74
Aleksandar Mitrović2023-11-27T20:00:00Z,Aleksandar Mitrović,Fulham,0.5298135278301284,74
Ivan Toney2023-11-25T17:30:00Z,Ivan Toney,Brentford,0.5257645647720204,79
Michael Obafemi2023-11-25T15:00:00Z,Michael Obafemi,Burnley,0.4112446987786673,49
Youssef Ramalho Chermiti2023-11-26T16:30:00Z,Youssef Ramalho Chermiti,Everton,0.39166811427462,49
Fábio Silva2023-11-27T20:00:00Z,Fábio Silva,Wolves,0.39136553189978057,53
Danny Welbeck2023-11-25T15:00:00Z,Danny Welbeck,Brighton,0.33603942195957337,57
Gianluca Scamacca2023-11-25T15:00:00Z,Gianluca Scamacca,West Ham,0.3105337566312451,60
William Osula2023-11-25T15:00:00Z,William Osula,Sheffield Utd,0.3070163710702952,43
