,name,team,minutes
7,Ederson Santana de Moraes,Man City,90.0
9,Scott Carson,Man City,0.0
23,Stefan Ortega Moreno,Man City,0.0
24,Zack Steffen,Man City,0.0
51,Emiliano Martínez Romero,Aston Villa,90.0
57,Viljami Sinisalo,Aston Villa,0.0
60,Robin Olsen,Aston Villa,0.0
70,Caoimhin Kelleher,Liverpool,90.0
87,Alisson Ramses Becker,Liverpool,0.0
89,Adrián San Miguel del Castillo,Liverpool,0.0
111,Loris Karius,Newcastle,0.0
113,Nick Pope,Newcastle,0.0
114,Karl Darlow,Newcastle,0.0
125,Martin Dubravka,Newcastle,90.0
126,Mark Gillespie,Newcastle,0.0
129,Jason Steele,Brighton,90.0
130,Kjell Scherpen,Brighton,0.0
133,Tom McGill,Brighton,0.0
161,Bart Verbruggen,Brighton,0.0
165,Karl Hein,Arsenal,0.0
182,Rúnar Alex Rúnarsson,Arsenal,0.0
186,Aaron Ramsdale,Arsenal,0.0
196,David Raya Martin,Arsenal,90.0
197,Guglielmo Vicario,Spurs,90.0
200,Fraser Forster,Spurs,0.0
209,Hugo Lloris,Spurs,0.0
220,Alfie Whiteman,Spurs,0.0
225,Brandon Austin,Spurs,0.0
238,Marcus Bettinelli,Chelsea,0.0
239,Robert Sánchez,Chelsea,90.0
240,Kepa Arrizabalaga,Chelsea,0.0
250,Lucas Bergström,Chelsea,0.0
275,Gabriel Słonina,Chelsea,0.0
278,Joseph Anang,West Ham,0.0
295,Lukasz Fabianski,West Ham,90.0
301,Alphonse Areola,West Ham,0.0
305,Filip Marschall,Aston Villa,0.0
307,Thomas Strakosha,Brentford,0.0
312,Matthew Cox,Brentford,0.0
320,Mark Flekken,Brentford,90.0
334,Ellery Balcombe,Brentford,0.0
337,Tim Krul,Luton,0.0
340,Oliwier Zych,Aston Villa,0.0
345,Matija Šarkić,Wolves,0.0
347,José Malheiro de Sá,Wolves,0.0
360,Tom King,Wolves,0.0
364,Daniel Bentley,Wolves,90.0
374,Lawrence Vigouroux,Burnley,0.0
377,Bailey Peacock-Farrell,Burnley,0.0
389,Arijanet Muric,Burnley,0.0
406,James Trafford,Burnley,90.0
417,Eddie Beach,Chelsea,0.0
420,Denis Franchi,Burnley,0.0
424,Andy Lonergan,Everton,0.0
437,Jordan Pickford,Everton,90.0
445,João Neves Virgínia,Everton,0.0
451,George Shelvey,Nott'm Forest,0.0
453,Ethan Horvath,Nott'm Forest,0.0
456,Norberto Murara Neto,Bournemouth,90.0
459,Wayne Hennessey,Nott'm Forest,0.0
462,Darren Randolph,Bournemouth,0.0
480,André Onana,Man Utd,90.0
481,Ionuț Radu,Bournemouth,0.0
508,Mark Travers,Bournemouth,0.0
534,Tom Heaton,Man Utd,0.0
546,Matt Turner,Nott'm Forest,0.0
560,Marek Rodák,Fulham,0.0
562,Bernd Leno,Fulham,90.0
590,Joe Whitworth,Crystal Palace,0.0
600,Vicente Guaita,Crystal Palace,0.0
605,Dean Henderson,Crystal Palace,0.0
606,Jack Walton,Luton,0.0
613,James Shea,Luton,0.0
617,Remi Matthews,Crystal Palace,0.0
621,Thomas Kaminski,Luton,90.0
639,Matt Macey,Luton,0.0
648,Sam Johnstone,Crystal Palace,90.0
662,Jordan Amissah,Sheffield Utd,0.0
673,Wes Foderingham,Sheffield Utd,90.0
679,Adam Davies,Sheffield Utd,0.0
686,Radek Vítek,Man Utd,0.0
