,name,team,minutes
0,Luke Harris,Fulham,0.0
1,Adama Traoré,Fulham,0.0
2,Riyad Mahrez,Man City,0.0
3,Oscar Bobb,Man City,17.0
4,Kevin De Bruyne,Man City,0.0
13,Bernardo Veiga de Carvalho e Silva,Man City,90.0
14,Phil Foden,Man City,72.0
15,Shea Charles,Man City,0.0
16,Rodrigo Hernandez,Man City,0.0
17,Máximo Perrone,Man City,0.0
18,Jack Grealish,Man City,0.0
21,Kalvin Phillips,Man City,0.0
26,Mateo Kovačić,Man City,22.0
29,Wataru Endo,Liverpool,45.0
30,Tyler Adams,Bournemouth,0.0
31,Omari Kellyman,Aston Villa,0.0
33,James McConnell,Liverpool,0.0
34,Ben Doak,Liverpool,0.0
35,Bobby Clark,Liverpool,0.0
38,Moussa Diaby,Aston Villa,5.0
39,Morgan Sanson,Aston Villa,0.0
40,Bertrand Traoré,Aston Villa,0.0
45,Boubacar Kamara,Aston Villa,90.0
47,John McGinn,Aston Villa,90.0
48,Leon Bailey,Aston Villa,84.0
49,Jacob Ramsey,Aston Villa,5.0
50,Emiliano Buendía Stati,Aston Villa,0.0
53,Douglas Luiz Soares de Paulo,Aston Villa,90.0
58,Tim Iroegbunam,Aston Villa,0.0
59,Jaden Philogene-Bidace,Aston Villa,0.0
61,Leander Dendoncker,Aston Villa,0.0
64,Philippe Coutinho Correia,Aston Villa,0.0
66,Youri Tielemans,Aston Villa,84.0
68,Dominik Szoboszlai,Liverpool,90.0
69,Diogo Teixeira da Silva,Liverpool,0.0
71,Fabio Henrique Tavares,Liverpool,0.0
72,Curtis Jones,Liverpool,31.0
73,Harvey Elliott,Liverpool,23.0
76,Jordan Henderson,Liverpool,0.0
82,Thiago Alcántara do Nascimento,Liverpool,0.0
83,Alexis Mac Allister,Liverpool,58.0
84,Mohamed Salah,Liverpool,66.0
86,Stefan Bajcetic,Liverpool,0.0
92,Luis Díaz,Liverpool,66.0
93,Sandro Tonali,Newcastle,0.0
94,Jeff Hendrick,Newcastle,0.0
96,Allan Saint-Maximin,Newcastle,0.0
97,Sean Longstaff,Newcastle,0.0
98,Jacob Murphy,Newcastle,0.0
100,Ryan Fraser,Newcastle,0.0
101,Isaac Hayden,Newcastle,0.0
102,Joe Willock,Newcastle,0.0
103,Harvey Barnes,Newcastle,0.0
105,Garang Kuol,Newcastle,0.0
109,Elliot Anderson,Newcastle,0.0
118,Matheus Luiz Nunes,Man City,22.0
119,Bruno Guimarães Rodriguez Moura,Newcastle,90.0
120,Miguel Almirón Rejala,Newcastle,90.0
122,Matt Ritchie,Newcastle,1.0
123,Anthony Gordon,Newcastle,90.0
124,Joelinton Cássio Apolinário de Lira,Newcastle,90.0
128,Roméo Lavia,Chelsea,0.0
131,Solly March,Brighton,0.0
135,Steven Alzate,Brighton,0.0
136,Mahmoud Dahoud,Brighton,0.0
137,Yasin Ayari,Brighton,0.0
139,Kacper Kozłowski,Brighton,0.0
140,Facundo Buonanotte,Brighton,68.0
141,Simon Adingra,Brighton,83.0
142,Kaoru Mitoma,Brighton,90.0
145,Julio Enciso,Brighton,0.0
148,Jakub Moder,Brighton,6.0
149,James Milner,Brighton,21.0
152,Pascal Groß,Brighton,90.0
153,Jeremy Sarmiento Morante,Brighton,0.0
156,Adam Lallana,Brighton,0.0
157,Billy Gilmour,Brighton,90.0
164,Lewis Miley,Newcastle,89.0
166,Bukayo Saka,Arsenal,90.0
169,Gabriel Martinelli Silva,Arsenal,63.0
173,Reiss Nelson,Arsenal,0.0
176,Emile Smith Rowe,Arsenal,0.0
177,Jorge Luiz Frello Filho,Arsenal,0.0
178,Fábio Ferreira Vieira,Arsenal,0.0
179,Marcus Oliveira Alencar,Arsenal,0.0
180,Martin Ødegaard,Arsenal,90.0
181,Nicolas Pépé,Arsenal,0.0
183,Leandro Trossard,Arsenal,26.0
184,Kai Havertz,Arsenal,90.0
185,Declan Rice,Arsenal,90.0
190,Granit Xhaka,Arsenal,0.0
191,Mohamed Elneny,Arsenal,0.0
192,Thomas Partey,Arsenal,0.0
198,Bryan Gil Salvatierra,Spurs,6.0
199,Manor Solomon,Spurs,0.0
203,Giovani Lo Celso,Spurs,66.0
207,Moisés Caicedo Corozo,Chelsea,90.0
212,Yves Bissouma,Spurs,83.0
213,Dejan Kulusevski,Spurs,90.0
216,Jack Hinshelwood,Brighton,72.0
217,Tanguy Ndombélé Alvaro,Spurs,0.0
219,Son Heung-min,Spurs,87.0
223,Rodrigo Bentancur,Spurs,0.0
224,Richarlison de Andrade,Spurs,23.0
226,James Maddison,Spurs,0.0
