index,name,team,points,value
Mohamed Salah2023-12-17T16:30:00Z,Mohamed Salah,Liverpool,7.51330584885441,132
Bruno Borges Fernandes2023-12-17T16:30:00Z,Bruno Borges Fernandes,Man Utd,5.203280134497477,83
Bukayo Saka2023-12-17T14:00:00Z,Bukayo Saka,Arsenal,5.086459627574082,90
Son Heung-min2023-12-15T20:00:00Z,Son Heung-min,Spurs,4.917420403709444,97
Andreas Hoelgebaum Pereira2023-12-16T15:00:00Z,Andreas Hoelgebaum Pereira,Fulham,4.872594195583716,53
Pascal Groß2023-12-17T14:00:00Z,Pascal Groß,Brighton,4.800877562651797,64
Anthony Gordon2023-12-16T15:00:00Z,Anthony Gordon,Newcastle,4.582537621294144,62
Jarrod Bowen2023-12-17T14:00:00Z,Jarrod Bowen,West Ham,4.509694571170288,77
Martin Ødegaard2023-12-17T14:00:00Z,Martin Ødegaard,Arsenal,4.41736665285848,84
Douglas Luiz Soares de Paulo2023-12-17T14:00:00Z,Douglas Luiz Soares de Paulo,Aston Villa,4.10569626543719,56
Alex Iwobi2023-12-16T15:00:00Z,Alex Iwobi,Fulham,4.039712956852963,53
Phil Foden2023-12-16T15:00:00Z,Phil Foden,Man City,4.004735207792079,76
Abdoulaye Doucouré2023-12-16T17:30:00Z,Abdoulaye Doucouré,Everton,3.9631874857852374,56
Dwight McNeil2023-12-16T17:30:00Z,Dwight McNeil,Everton,3.9476103556953754,54
Joelinton Cássio Apolinário de Lira2023-12-16T15:00:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,3.9253632625836126,58
Simon Adingra2023-12-17T14:00:00Z,Simon Adingra,Brighton,3.8409967740142927,50
Scott McTominay2023-12-17T16:30:00Z,Scott McTominay,Man Utd,3.781232068422807,49
Leon Bailey2023-12-17T14:00:00Z,Leon Bailey,Aston Villa,3.692356959758324,56
Bernardo Veiga de Carvalho e Silva2023-12-16T15:00:00Z,Bernardo Veiga de Carvalho e Silva,Man City,3.6390629049528775,64
Mykhailo Mudryk2023-12-16T15:00:00Z,Mykhailo Mudryk,Chelsea,3.551972590810676,63
Miguel Almirón Rejala2023-12-16T15:00:00Z,Miguel Almirón Rejala,Newcastle,3.5419130250597877,62
John McGinn2023-12-17T14:00:00Z,John McGinn,Aston Villa,3.532505890140829,55
Harry Wilson2023-12-16T15:00:00Z,Harry Wilson,Fulham,3.526009385523382,53
Dejan Kulusevski2023-12-15T20:00:00Z,Dejan Kulusevski,Spurs,3.509025879828335,71
Luis Díaz2023-12-17T16:30:00Z,Luis Díaz,Liverpool,3.389672064966885,74
Gabriel Martinelli Silva2023-12-17T14:00:00Z,Gabriel Martinelli Silva,Arsenal,3.3551256029554946,78
Hwang Hee-chan2023-12-17T14:00:00Z,Hwang Hee-chan,Wolves,3.314508342128396,58
Morgan Gibbs-White2023-12-15T20:00:00Z,Morgan Gibbs-White,Nott'm Forest,3.3052585038225235,57
Bruno Guimarães Rodriguez Moura2023-12-16T15:00:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,3.2818243587802223,58
Kaoru Mitoma2023-12-17T14:00:00Z,Kaoru Mitoma,Brighton,3.2636121247760044,65
Brennan Johnson2023-12-15T20:00:00Z,Brennan Johnson,Spurs,3.2617830130349654,58
Vitaly Janelt2023-12-17T14:00:00Z,Vitaly Janelt,Brentford,3.244902703414521,53
Kai Havertz2023-12-17T14:00:00Z,Kai Havertz,Arsenal,3.197811022902587,71
Richarlison de Andrade2023-12-15T20:00:00Z,Richarlison de Andrade,Spurs,3.1678224706654206,66
Bryan Mbeumo2023-12-17T14:00:00Z,Bryan Mbeumo,Brentford,3.131559890730413,69
Willian Borges da Silva2023-12-16T15:00:00Z,Willian Borges da Silva,Fulham,3.102329524886378,53
Dominik Szoboszlai2023-12-17T16:30:00Z,Dominik Szoboszlai,Liverpool,3.1012381413044063,71
Ryan Christie2023-12-16T15:00:00Z,Ryan Christie,Bournemouth,3.099953107479546,50
Tom Cairney2023-12-16T15:00:00Z,Tom Cairney,Fulham,3.087962345573976,49
Marcus Rashford2023-12-17T16:30:00Z,Marcus Rashford,Man Utd,3.0611323338298075,85
Jack Grealish2023-12-16T15:00:00Z,Jack Grealish,Man City,3.02753418568966,72
Raheem Sterling2023-12-16T15:00:00Z,Raheem Sterling,Chelsea,3.0030701530780934,71
Cole Palmer2023-12-16T15:00:00Z,Cole Palmer,Chelsea,2.9926039365443193,55
Marcus Tavernier2023-12-16T15:00:00Z,Marcus Tavernier,Bournemouth,2.9617956679228494,54
João Palhinha Gonçalves2023-12-16T15:00:00Z,João Palhinha Gonçalves,Fulham,2.9398160013723986,50
Lewis Miley2023-12-16T15:00:00Z,Lewis Miley,Newcastle,2.9255927908258528,45
Lewis Cook2023-12-16T15:00:00Z,Lewis Cook,Bournemouth,2.8995949953889695,50
Michael Olise2023-12-16T15:00:00Z,Michael Olise,Crystal Palace,2.8737959388737178,58
Anthony Elanga2023-12-15T20:00:00Z,Anthony Elanga,Nott'm Forest,2.8699483733568854,50
Pablo Sarabia2023-12-17T14:00:00Z,Pablo Sarabia,Wolves,2.845966461461035,47
Rodrigo Hernandez2023-12-16T15:00:00Z,Rodrigo Hernandez,Man City,2.8305977461046252,56
Enzo Fernández2023-12-16T15:00:00Z,Enzo Fernández,Chelsea,2.7659425413619596,48
Moussa Diaby2023-12-17T14:00:00Z,Moussa Diaby,Aston Villa,2.7039341512475743,67
Moisés Caicedo Corozo2023-12-16T15:00:00Z,Moisés Caicedo Corozo,Chelsea,2.696560619621278,46
Declan Rice2023-12-17T14:00:00Z,Declan Rice,Arsenal,2.685351506588159,54
Josh Brownhill2023-12-16T17:30:00Z,Josh Brownhill,Burnley,2.678594467362818,47
Alejandro Garnacho2023-12-17T16:30:00Z,Alejandro Garnacho,Man Utd,2.675109839497389,48
Lucas Tolentino Coelho de Lima2023-12-17T14:00:00Z,Lucas Tolentino Coelho de Lima,West Ham,2.643226079019845,60
Leandro Trossard2023-12-17T14:00:00Z,Leandro Trossard,Arsenal,2.5487635481936697,65
Sander Berge2023-12-16T17:30:00Z,Sander Berge,Burnley,2.5037930189535533,48
Philip Billing2023-12-16T15:00:00Z,Philip Billing,Bournemouth,2.4718037982113494,52
Jacob Bruun Larsen2023-12-16T17:30:00Z,Jacob Bruun Larsen,Burnley,2.449592509300219,49
Youri Tielemans2023-12-17T14:00:00Z,Youri Tielemans,Aston Villa,2.3918456752135446,56
Jefferson Lerma Solís2023-12-16T15:00:00Z,Jefferson Lerma Solís,Crystal Palace,2.3357062758628295,47
Justin Kluivert2023-12-16T15:00:00Z,Justin Kluivert,Bournemouth,2.2878032818926304,46
Orel Mangala2023-12-15T20:00:00Z,Orel Mangala,Nott'm Forest,2.2761307002343765,50
Antony Matheus dos Santos2023-12-17T16:30:00Z,Antony Matheus dos Santos,Man Utd,2.257330782968968,68
Giovani Lo Celso2023-12-15T20:00:00Z,Giovani Lo Celso,Spurs,2.246873261389979,48
Christian Nørgaard2023-12-17T14:00:00Z,Christian Nørgaard,Brentford,2.1922352990722245,54
