,name,team,minutes
0,Aaron Connolly,Brighton,0.0
12,Deniz Undav,Brighton,0.0
13,Evan Ferguson,Brighton,90.0
17,Danny Welbeck,Brighton,59.0
18,João Pedro Junqueira de Jesus,Brighton,30.0
31,Andi Zeqiri,Brighton,0.0
36,Ivan Toney,Brentford,0.0
70,Jhon Durán,Aston Villa,4.0
79,Ollie Watkins,Aston Villa,85.0
84,Wesley Moraes Ferreira da Silva,Aston Villa,0.0
93,Alexander Isak,Newcastle,71.0
96,Yoane Wissa,Brentford,90.0
108,Halil Dervişoğlu,Brentford,0.0
113,Callum Wilson,Newcastle,18.0
137,Harry Kane,Spurs,0.0
148,Erling Haaland,Man City,90.0
167,Chris Wood,Nott'm Forest,9.0
169,Taiwo Awoniyi,Nott'm Forest,80.0
198,Sam Surridge,Nott'm Forest,0.0
205,Eddie Nketiah,Arsenal,45.0
207,Gabriel Fernando de Jesus,Arsenal,1.0
208,Hwang Ui-jo,Nott'm Forest,0.0
210,Emmanuel Dennis,Nott'm Forest,0.0
212,Folarin Balogun,Arsenal,0.0
234,Antwoine Hackford,Sheffield Utd,0.0
236,Antoine Semenyo,Bournemouth,72.0
259,Pierre-Emerick Aubameyang,Chelsea,0.0
264,Kieffer Moore,Bournemouth,4.0
265,Dominic Solanke,Bournemouth,90.0
273,Louie Marsh,Sheffield Utd,0.0
283,Sasa Kalajdzic,Wolves,5.0
284,Rhian Brewster,Sheffield Utd,0.0
285,Oliver McBurnie,Sheffield Utd,19.0
293,Shola Shoretire,Man Utd,0.0
294,William Osula,Sheffield Utd,70.0
301,Fábio Silva,Wolves,73.0
309,Iliman Ndiaye,Sheffield Utd,0.0
313,Anthony Martial,Man Utd,59.0
324,Daniel Jebbison,Sheffield Utd,0.0
331,Bénie Traoré,Sheffield Utd,90.0
345,Matheus Santos Carneiro Da Cunha,Wolves,84.0
362,Wout Weghorst,Burnley,0.0
366,Zeki Amdouni,Burnley,59.0
377,Lyle Foster,Burnley,90.0
383,Rasmus Højlund,Man Utd,0.0
386,Jay Rodriguez,Burnley,0.0
393,Michael Obafemi,Burnley,0.0
