index,name,team,points,value
Erling Haaland2023-11-25T12:30:00Z,Erling Haaland,Man City,5.950574,140
Ollie Watkins2023-11-26T14:00:00Z,Ollie Watkins,Aston Villa,4.2852,85
Julián Álvarez2023-11-25T12:30:00Z,Julián Álvarez,Man City,4.226452,71
Callum Wilson2023-11-25T15:00:00Z,Callum Wilson,Newcastle,3.986652,79
Dominic Solanke2023-11-25T15:00:00Z,Dominic Solanke,Bournemouth,3.839764,65
Darwin Núñez Ribeiro2023-11-25T12:30:00Z,Darwin Núñez Ribeiro,Liverpool,3.7582164,76
Nicolas Jackson2023-11-25T15:00:00Z,Nicolas Jackson,Chelsea,3.36226,69
Taiwo Awoniyi2023-11-25T15:00:00Z,Taiwo Awoniyi,Nott'm Forest,3.311903,64
Yoane Wissa2023-11-25T17:30:00Z,Yoane Wissa,Brentford,3.2606049,59
Matheus Santos Carneiro Da Cunha2023-11-27T20:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,3.2137282,55
Rasmus Højlund2023-11-26T16:30:00Z,Rasmus Højlund,Man Utd,3.161078,71
Raúl Jiménez2023-11-27T20:00:00Z,Raúl Jiménez,Fulham,3.0858026,52
Dominic Calvert-Lewin2023-11-26T16:30:00Z,Dominic Calvert-Lewin,Everton,3.0810683,58
Eddie Nketiah2023-11-25T17:30:00Z,Eddie Nketiah,Arsenal,3.049834,57
Odsonne Edouard2023-11-25T15:00:00Z,Odsonne Edouard,Crystal Palace,3.0393567,55
Neal Maupay2023-11-25T17:30:00Z,Neal Maupay,Brentford,3.0011537,49
Antoine Semenyo2023-11-25T15:00:00Z,Antoine Semenyo,Bournemouth,2.680367,45
Evan Ferguson2023-11-25T15:00:00Z,Evan Ferguson,Brighton,2.6607413,61
Michail Antonio2023-11-25T15:00:00Z,Michail Antonio,West Ham,2.0005348,58
Chiedozie Ogbene2023-11-25T15:00:00Z,Chiedozie Ogbene,Luton,1.917235,49
João Pedro Junqueira de Jesus2023-11-25T15:00:00Z,João Pedro Junqueira de Jesus,Brighton,1.9101982,53
Cameron Archer2023-11-25T15:00:00Z,Cameron Archer,Sheffield Utd,1.9040978,46
Cody Gakpo2023-11-25T12:30:00Z,Cody Gakpo,Liverpool,1.7291082,72
Carlton Morris2023-11-25T15:00:00Z,Carlton Morris,Luton,1.7240059,53
Rodrigo Muniz Carvalho2023-11-27T20:00:00Z,Rodrigo Muniz Carvalho,Fulham,1.7178626,44
Harry Kane2023-11-26T14:00:00Z,Harry Kane,Spurs,1.6599913,125
Jay Rodriguez2023-11-25T15:00:00Z,Jay Rodriguez,Burnley,1.641079,53
Zeki Amdouni2023-11-25T15:00:00Z,Zeki Amdouni,Burnley,1.5805068,53
Norberto Bercique Gomes Betuncal2023-12-10T14:00:00Z,Norberto Bercique Gomes Betuncal,Everton,1.5788941,57
Sasa Kalajdzic2023-11-27T20:00:00Z,Sasa Kalajdzic,Wolves,1.161211,49
Carlos Vinícius Alves Morais2023-11-27T20:00:00Z,Carlos Vinícius Alves Morais,Fulham,1.155334,47
Rhian Brewster2023-11-25T15:00:00Z,Rhian Brewster,Sheffield Utd,1.1241939,49
Divock Origi2023-12-15T20:00:00Z,Divock Origi,Nott'm Forest,1.0983118,50
Anthony Martial2023-11-26T16:30:00Z,Anthony Martial,Man Utd,1.0625907,64
Jean-Philippe Mateta2023-11-25T15:00:00Z,Jean-Philippe Mateta,Crystal Palace,1.0128126,49
Danny Ings2023-11-25T15:00:00Z,Danny Ings,West Ham,1.0110161,56
Jacob Brown2023-11-25T15:00:00Z,Jacob Brown,Luton,0.99782884,49
Chris Wood2023-11-25T15:00:00Z,Chris Wood,Nott'm Forest,0.86719155,49
Elijah Adebayo2023-11-25T15:00:00Z,Elijah Adebayo,Luton,0.76681566,48
Alexander Isak2023-11-25T15:00:00Z,Alexander Isak,Newcastle,0.68290937,74
Aleksandar Mitrović2023-11-27T20:00:00Z,Aleksandar Mitrović,Fulham,0.6126213,74
Wout Weghorst2023-11-25T15:00:00Z,Wout Weghorst,Burnley,0.47100198,55
Gabriel Fernando de Jesus2023-11-25T17:30:00Z,Gabriel Fernando de Jesus,Arsenal,0.4224261,78
Ivan Toney2023-11-25T17:30:00Z,Ivan Toney,Brentford,0.42005622,79
Danny Welbeck2023-11-25T15:00:00Z,Danny Welbeck,Brighton,0.37850082,57
Armando Broja2023-11-25T15:00:00Z,Armando Broja,Chelsea,0.3598206,49
Deniz Undav2023-11-25T15:00:00Z,Deniz Undav,Brighton,0.34223866,55
Pierre-Emerick Aubameyang2023-11-25T15:00:00Z,Pierre-Emerick Aubameyang,Chelsea,0.3189013,65
Gianluca Scamacca2023-11-25T15:00:00Z,Gianluca Scamacca,West Ham,0.28053713,60
Michael Obafemi2023-11-25T15:00:00Z,Michael Obafemi,Burnley,0.2746656,49
Christopher Nkunku2023-11-25T15:00:00Z,Christopher Nkunku,Chelsea,0.2630664,73
William Osula2023-11-25T15:00:00Z,William Osula,Sheffield Utd,0.23391497,43
Sam Surridge2023-11-25T15:00:00Z,Sam Surridge,Nott'm Forest,0.23305511,45
Youssef Ramalho Chermiti2023-11-26T16:30:00Z,Youssef Ramalho Chermiti,Everton,0.21147275,49
Emmanuel Dennis2023-11-25T15:00:00Z,Emmanuel Dennis,Nott'm Forest,0.18870509,48
Romelu Lukaku Bolingoli2023-11-25T15:00:00Z,Romelu Lukaku Bolingoli,Chelsea,0.17407668,68
Kieffer Moore2023-11-25T15:00:00Z,Kieffer Moore,Bournemouth,0.15614784,47
Fábio Silva2023-11-27T20:00:00Z,Fábio Silva,Wolves,0.15510476,53
Wesley Moraes Ferreira da Silva2023-11-26T14:00:00Z,Wesley Moraes Ferreira da Silva,Aston Villa,0.1275034,50
Iliman Ndiaye2023-11-25T15:00:00Z,Iliman Ndiaye,Sheffield Utd,0.1269064,55
Alejo Véliz2023-11-26T14:00:00Z,Alejo Véliz,Spurs,0.12022221,54
Ronnie Stutter2023-12-16T15:00:00Z,Ronnie Stutter,Chelsea,0.09340072,45
Jhon Durán2023-11-26T14:00:00Z,Jhon Durán,Aston Villa,0.09238827,50
Shola Shoretire2023-11-26T16:30:00Z,Shola Shoretire,Man Utd,0.07845616,44
Jay Stansfield2023-11-27T20:00:00Z,Jay Stansfield,Fulham,0.07834792,45
Oliver McBurnie2023-11-25T15:00:00Z,Oliver McBurnie,Sheffield Utd,0.065229535,54
Lyle Foster2023-11-25T15:00:00Z,Lyle Foster,Burnley,0.06402671,50
Dane Scarlett2023-11-26T14:00:00Z,Dane Scarlett,Spurs,0.0540601,45
