,name,team,minutes
2,Luke Harris,Fulham,0
3,Wataru Endo,Liverpool,1
4,Roméo Lavia,Chelsea,0
9,Shea Charles,Man City,0
15,Bernardo Veiga de Carvalho e Silva,Man City,1
16,Kevin De Bruyne,Man City,0
17,Riyad Mahrez,Man City,0
18,Oscar Bobb,Man City,0
20,Phil Foden,Man City,1
24,Jack Grealish,Man City,1
26,Kalvin Phillips,Man City,0
27,Máximo Perrone,Man City,0
28,Rodrigo Hernandez,Man City,1
31,Mateo Kovačić,Man City,0
34,Omari Kellyman,Aston Villa,0
39,Emiliano Buendía Stati,Aston Villa,0
41,Garang Kuol,Newcastle,0
43,Boubacar Kamara,Aston Villa,0
44,Matt Ritchie,Newcastle,0
46,Bertrand Traoré,Aston Villa,0
48,Jaden Philogene-Bidace,Aston Villa,0
49,Jacob Ramsey,Aston Villa,1
50,Miguel Almirón Rejala,Newcastle,1
54,Youri Tielemans,Aston Villa,1
64,Leander Dendoncker,Aston Villa,0
68,Philippe Coutinho Correia,Aston Villa,0
69,Leon Bailey,Aston Villa,1
70,Bruno Guimarães Rodriguez Moura,Newcastle,1
72,Ryan Fraser,Newcastle,0
73,Jacob Murphy,Newcastle,0
74,Moussa Diaby,Aston Villa,1
75,Harvey Barnes,Newcastle,0
76,Anthony Gordon,Newcastle,1
79,Douglas Luiz Soares de Paulo,Aston Villa,1
80,Allan Saint-Maximin,Newcastle,0
81,John McGinn,Aston Villa,1
83,Morgan Sanson,Aston Villa,0
84,Joelinton Cássio Apolinário de Lira,Newcastle,1
85,Jeff Hendrick,Newcastle,0
86,Isaac Hayden,Newcastle,0
87,Joe Willock,Newcastle,0
88,Tim Iroegbunam,Aston Villa,0
92,Sean Longstaff,Newcastle,0
95,Sandro Tonali,Newcastle,0
96,Elliot Anderson,Newcastle,0
99,Tyler Adams,Bournemouth,0
100,Adama Traoré,Fulham,0
101,Aaron Ramsey,Burnley,0
102,Wilson Odobert,Burnley,0
105,Ben Doak,Liverpool,0
106,James McConnell,Liverpool,0
107,Bobby Clark,Liverpool,0
110,Matheus Luiz Nunes,Man City,0
113,Curtis Jones,Liverpool,0
114,Luis Díaz,Liverpool,1
115,Lewis Miley,Newcastle,1
116,Diogo Teixeira da Silva,Liverpool,0
117,Dominik Szoboszlai,Liverpool,1
