index,name,team,points,value
Anthony Gordon2023-12-16T15:00:00Z,Anthony Gordon,Newcastle,3.9287114,62
Bukayo Saka2023-12-17T14:00:00Z,Bukayo Saka,Arsenal,3.653695,90
Bruno Borges Fernandes2023-12-17T16:30:00Z,Bruno Borges Fernandes,Man Utd,3.5927243,83
Mohamed Salah2023-12-17T16:30:00Z,Mohamed Salah,Liverpool,3.560696,132
Bernardo Veiga de Carvalho e Silva2023-12-16T15:00:00Z,Bernardo Veiga de Carvalho e Silva,Man City,3.5129828,64
Son Heung-min2023-12-15T20:00:00Z,Son Heung-min,Spurs,3.507294,97
Phil Foden2023-12-16T15:00:00Z,Phil Foden,Man City,3.4956656,76
Martin Ødegaard2023-12-17T14:00:00Z,Martin Ødegaard,Arsenal,3.4931426,84
Vitaly Janelt2023-12-17T14:00:00Z,Vitaly Janelt,Brentford,3.4032302,53
Dejan Kulusevski2023-12-15T20:00:00Z,Dejan Kulusevski,Spurs,3.34387,71
Alex Iwobi2023-12-16T15:00:00Z,Alex Iwobi,Fulham,3.2552557,53
Joelinton Cássio Apolinário de Lira2023-12-16T15:00:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,3.2446446,58
Jack Grealish2023-12-16T15:00:00Z,Jack Grealish,Man City,3.1218657,72
Brennan Johnson2023-12-15T20:00:00Z,Brennan Johnson,Spurs,3.1118677,58
Bryan Mbeumo2023-12-17T14:00:00Z,Bryan Mbeumo,Brentford,3.0906868,69
Bruno Guimarães Rodriguez Moura2023-12-16T15:00:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,3.0843503,58
Ryan Christie2023-12-16T15:00:00Z,Ryan Christie,Bournemouth,2.9895384,50
Gabriel Martinelli Silva2023-12-17T14:00:00Z,Gabriel Martinelli Silva,Arsenal,2.9838543,78
Marcus Tavernier2023-12-16T15:00:00Z,Marcus Tavernier,Bournemouth,2.9578693,54
Douglas Luiz Soares de Paulo2023-12-17T14:00:00Z,Douglas Luiz Soares de Paulo,Aston Villa,2.9239779,56
Andreas Hoelgebaum Pereira2023-12-16T15:00:00Z,Andreas Hoelgebaum Pereira,Fulham,2.9225614,53
Dwight McNeil2023-12-16T17:30:00Z,Dwight McNeil,Everton,2.8996422,54
