index,name,team,points,value
Trent Alexander-Arnold2023-12-23T17:30:00Z,Trent Alexander-Arnold,Liverpool,4.5076895,82
Pedro Porro2023-12-23T15:00:00Z,Pedro Porro,Spurs,3.5146923,55
Diogo Dalot Teixeira2023-12-23T12:30:00Z,Diogo Dalot Teixeira,Man Utd,3.3410249,51
Benjamin White2023-12-23T17:30:00Z,Benjamin White,Arsenal,3.2698536,56
Rúben Gato Alves Dias2023-12-27T20:15:00Z,Rúben Gato Alves Dias,Man City,3.2430375,55
Kyle Walker2023-12-27T20:15:00Z,Kyle Walker,Man City,3.1702156,53
Kieran Trippier2023-12-23T15:00:00Z,Kieran Trippier,Newcastle,3.1669424,69
Craig Dawson2023-12-24T13:00:00Z,Craig Dawson,Wolves,3.1381133,45
Virgil van Dijk2023-12-23T17:30:00Z,Virgil van Dijk,Liverpool,3.0876524,62
Max Kilman2023-12-24T13:00:00Z,Max Kilman,Wolves,3.0594232,45
James Tarkowski2023-12-23T15:00:00Z,James Tarkowski,Everton,3.005603,44
Cristian Romero2023-12-23T15:00:00Z,Cristian Romero,Spurs,2.9332623,49
Luke Shaw2023-12-23T12:30:00Z,Luke Shaw,Man Utd,2.9280574,52
William Saliba2023-12-23T17:30:00Z,William Saliba,Arsenal,2.8876746,55
Nélson Cabral Semedo2023-12-24T13:00:00Z,Nélson Cabral Semedo,Wolves,2.8054256,45
Murillo Santiago Costa dos Santos2023-12-23T15:00:00Z,Murillo Santiago Costa dos Santos,Nott'm Forest,2.7889402,45
Pau Torres2023-12-22T20:00:00Z,Pau Torres,Aston Villa,2.7832623,47
Gabriel dos Santos Magalhães2023-12-23T17:30:00Z,Gabriel dos Santos Magalhães,Arsenal,2.7492933,49
Destiny Udogie2023-12-23T15:00:00Z,Destiny Udogie,Spurs,2.7004352,48
Marcos Senesi2023-12-23T15:00:00Z,Marcos Senesi,Bournemouth,2.6997766,44
Diego Carlos Santos Silva2023-12-22T20:00:00Z,Diego Carlos Santos Silva,Aston Villa,2.682729,44
Ethan Pinnock2023-12-27T19:30:00Z,Ethan Pinnock,Brentford,2.672103,46
Ben Davies2023-12-23T15:00:00Z,Ben Davies,Spurs,2.6515193,43
Adam Smith2023-12-23T15:00:00Z,Adam Smith,Bournemouth,2.61074,44
Levi Colwill2023-12-24T13:00:00Z,Levi Colwill,Chelsea,2.6068258,46
Antonee Robinson2023-12-23T15:00:00Z,Antonee Robinson,Fulham,2.6029983,44
Tino Livramento2023-12-23T15:00:00Z,Tino Livramento,Newcastle,2.6011977,44
Ibrahima Konaté2023-12-23T17:30:00Z,Ibrahima Konaté,Liverpool,2.5890896,49
Ezri Konsa Ngoyo2023-12-22T20:00:00Z,Ezri Konsa Ngoyo,Aston Villa,2.5717688,45
Alexandre Moreno Lopera2023-12-22T20:00:00Z,Alexandre Moreno Lopera,Aston Villa,2.5689123,50
Axel Disasi2023-12-24T13:00:00Z,Axel Disasi,Chelsea,2.553892,49
Jan Paul van Hecke2023-12-21T20:00:00Z,Jan Paul van Hecke,Brighton,2.5009959,40
Oleksandr Zinchenko2023-12-23T17:30:00Z,Oleksandr Zinchenko,Arsenal,2.4991813,52
Jamaal Lascelles2023-12-23T15:00:00Z,Jamaal Lascelles,Newcastle,2.4799733,42
Joško Gvardiol2023-12-27T20:15:00Z,Joško Gvardiol,Man City,2.467965,49
Nathan Aké2023-12-27T20:15:00Z,Nathan Aké,Man City,2.4658823,50
Rico Lewis2023-12-27T20:15:00Z,Rico Lewis,Man City,2.4597769,43
Vladimír Coufal2023-12-23T12:30:00Z,Vladimír Coufal,West Ham,2.4520888,46
Dara O'Shea2023-12-23T15:00:00Z,Dara O'Shea,Burnley,2.436301,44
Tosin Adarabioyo2023-12-23T15:00:00Z,Tosin Adarabioyo,Fulham,2.4316638,43
Joachim Andersen2023-12-21T20:00:00Z,Joachim Andersen,Crystal Palace,2.4257631,50
Illia Zabarnyi2023-12-23T15:00:00Z,Illia Zabarnyi,Bournemouth,2.4251368,44
Marc Guéhi2023-12-21T20:00:00Z,Marc Guéhi,Crystal Palace,2.3980384,45
Nayef Aguerd2023-12-23T12:30:00Z,Nayef Aguerd,West Ham,2.3953676,45
Alfie Doughty2023-12-23T15:00:00Z,Alfie Doughty,Luton,2.3851767,44
Emerson Palmieri dos Santos2023-12-23T12:30:00Z,Emerson Palmieri dos Santos,West Ham,2.3838632,45
Fabian Schär2023-12-23T15:00:00Z,Fabian Schär,Newcastle,2.383705,53
Lewis Dunk2023-12-21T20:00:00Z,Lewis Dunk,Brighton,2.3799682,50
Timothy Castagne2023-12-23T15:00:00Z,Timothy Castagne,Fulham,2.3455086,45
Jayden Bogle2023-12-22T20:00:00Z,Jayden Bogle,Sheffield Utd,2.2919583,45
Toti António Gomes2023-12-24T13:00:00Z,Toti António Gomes,Wolves,2.2884586,44
Moussa Niakhaté2023-12-23T15:00:00Z,Moussa Niakhaté,Nott'm Forest,2.2878442,45
Nathan Patterson2023-12-23T15:00:00Z,Nathan Patterson,Everton,2.280841,44
Harry Toffolo2023-12-23T15:00:00Z,Harry Toffolo,Nott'm Forest,2.2737749,44
Dan Burn2023-12-23T15:00:00Z,Dan Burn,Newcastle,2.2711654,44
Ben Mee2023-12-27T19:30:00Z,Ben Mee,Brentford,2.2539763,48
Reece James2023-12-24T13:00:00Z,Reece James,Chelsea,2.245056,54
Milos Kerkez2023-12-23T15:00:00Z,Milos Kerkez,Bournemouth,2.2326932,44
Thiago Emiliano da Silva2023-12-24T13:00:00Z,Thiago Emiliano da Silva,Chelsea,2.21578,50
Chris Richards2023-12-21T20:00:00Z,Chris Richards,Crystal Palace,2.1911283,39
Lucas Digne2023-12-22T20:00:00Z,Lucas Digne,Aston Villa,2.182594,47
Konstantinos Tsimikas2023-12-23T17:30:00Z,Konstantinos Tsimikas,Liverpool,2.1785467,49
Anel Ahmedhodžić2023-12-22T20:00:00Z,Anel Ahmedhodžić,Sheffield Utd,2.0470586,43
Vitalii Mykolenko2023-12-23T15:00:00Z,Vitalii Mykolenko,Everton,2.0353286,46
Willy Boly2023-12-23T15:00:00Z,Willy Boly,Nott'm Forest,2.0213027,45
Emil Krafth2023-12-23T15:00:00Z,Emil Krafth,Newcastle,2.0155687,44
Sergio Reguilón2023-12-23T12:30:00Z,Sergio Reguilón,Man Utd,2.0007997,44
Harry Maguire2023-12-23T12:30:00Z,Harry Maguire,Man Utd,1.9851246,43
Kurt Zouma2023-12-23T12:30:00Z,Kurt Zouma,West Ham,1.9727831,45
Michael Keane2023-12-23T15:00:00Z,Michael Keane,Everton,1.9417493,43
Ashley Young2023-12-23T15:00:00Z,Ashley Young,Everton,1.9116511,44
Neco Williams2023-12-23T15:00:00Z,Neco Williams,Nott'm Forest,1.9097764,43
Raphaël Varane2023-12-23T12:30:00Z,Raphaël Varane,Man Utd,1.8701918,49
Nathaniel Clyne2023-12-21T20:00:00Z,Nathaniel Clyne,Crystal Palace,1.8381538,44
Benoît Badiashile2023-12-24T13:00:00Z,Benoît Badiashile,Chelsea,1.8094265,44
Calvin Bassey2023-12-23T15:00:00Z,Calvin Bassey,Fulham,1.7782379,44
Igor Julio dos Santos de Paulo2023-12-21T20:00:00Z,Igor Julio dos Santos de Paulo,Brighton,1.754971,43
Marc Cucurella Saseta2023-12-24T13:00:00Z,Marc Cucurella Saseta,Chelsea,1.7494937,48
Gabriel Osho2023-12-23T15:00:00Z,Gabriel Osho,Luton,1.641533,44
Joe Gomez2023-12-23T17:30:00Z,Joe Gomez,Liverpool,1.6408993,45
John Stones2023-12-27T20:15:00Z,John Stones,Man City,1.6101046,53
Joel Ward2023-12-21T20:00:00Z,Joel Ward,Crystal Palace,1.5760586,45
Mads Roerslev Rasmussen2023-12-27T19:30:00Z,Mads Roerslev Rasmussen,Brentford,1.571929,44
Tyrick Mitchell2023-12-21T20:00:00Z,Tyrick Mitchell,Crystal Palace,1.5056083,47
Jarrad Branthwaite2023-12-23T15:00:00Z,Jarrad Branthwaite,Everton,1.4891421,41
Jordan Beyer2023-12-23T15:00:00Z,Jordan Beyer,Burnley,1.41166,40
Olu Aina2023-12-23T15:00:00Z,Olu Aina,Nott'm Forest,1.3858573,45
Auston Trusty2023-12-22T20:00:00Z,Auston Trusty,Sheffield Utd,1.3734767,39
Hugo Bueno López2023-12-24T13:00:00Z,Hugo Bueno López,Wolves,1.3734062,44
