index,name,team,points,value
Kieran Trippier2023-08-19T19:00:00Z,Kieran Trippier,Newcastle,4.8742085,65
Pervis Estupiñán2023-08-19T14:00:00Z,Pervis Estupiñán,Brighton,4.8654194,51
Ben Chilwell2023-08-20T15:30:00Z,Ben Chilwell,Chelsea,4.4809833,56
Raphaël Varane2023-08-19T16:30:00Z,Raphaël Varane,Man Utd,4.444173,50
Aaron Wan-Bissaka2023-08-19T16:30:00Z,Aaron Wan-Bissaka,Man Utd,4.305795,45
Emerson Leite de Souza Junior2023-08-19T16:30:00Z,Emerson Leite de Souza Junior,Spurs,4.2701826,45
Luke Shaw2023-08-19T16:30:00Z,Luke Shaw,Man Utd,4.2403746,55
Destiny Udogie2023-08-19T16:30:00Z,Destiny Udogie,Spurs,3.9956732,45
Joachim Andersen2023-08-21T19:00:00Z,Joachim Andersen,Crystal Palace,3.9636827,45
Cristian Romero2023-08-19T16:30:00Z,Cristian Romero,Spurs,3.9271808,45
Nathan Aké2023-08-19T19:00:00Z,Nathan Aké,Man City,3.9225903,50
Reece James2023-08-20T15:30:00Z,Reece James,Chelsea,3.8943887,55
Andrew Robertson2023-08-19T14:00:00Z,Andrew Robertson,Liverpool,3.8835342,65
Lucas Digne2023-08-20T13:00:00Z,Lucas Digne,Aston Villa,3.8171735,45
Manuel Akanji2023-08-19T19:00:00Z,Manuel Akanji,Man City,3.8103032,50
Craig Dawson2023-08-19T14:00:00Z,Craig Dawson,Wolves,3.6784096,45
Rico Henry2023-08-19T14:00:00Z,Rico Henry,Brentford,3.654149,45
Levi Colwill2023-08-20T15:30:00Z,Levi Colwill,Chelsea,3.4908776,45
William Saliba2023-08-21T19:00:00Z,William Saliba,Arsenal,3.3317623,51
Kyle Walker2023-08-19T19:00:00Z,Kyle Walker,Man City,3.3201718,50
Thiago Emiliano da Silva2023-08-20T15:30:00Z,Thiago Emiliano da Silva,Chelsea,3.2340937,50
Issa Diop2023-08-19T14:00:00Z,Issa Diop,Fulham,3.2226179,45
Ethan Pinnock2023-08-19T14:00:00Z,Ethan Pinnock,Brentford,3.1408148,45
Nélson Cabral Semedo2023-08-19T14:00:00Z,Nélson Cabral Semedo,Wolves,3.1209364,45
Lewis Dunk2023-08-19T14:00:00Z,Lewis Dunk,Brighton,3.1120257,50
Benjamin White2023-08-21T19:00:00Z,Benjamin White,Arsenal,3.0778441,55
Marc Guéhi2023-08-21T19:00:00Z,Marc Guéhi,Crystal Palace,3.0776842,45
Antonee Robinson2023-08-19T14:00:00Z,Antonee Robinson,Fulham,3.040668,45
Joel Ward2023-08-21T19:00:00Z,Joel Ward,Crystal Palace,3.034778,45
Max Kilman2023-08-19T14:00:00Z,Max Kilman,Wolves,3.020019,45
Axel Disasi2023-08-20T15:30:00Z,Axel Disasi,Chelsea,3.0141177,50
Ezri Konsa Ngoyo2023-08-20T13:00:00Z,Ezri Konsa Ngoyo,Aston Villa,2.9618335,45
Tim Ream2023-08-19T14:00:00Z,Tim Ream,Fulham,2.904873,45
Tyrick Mitchell2023-08-21T19:00:00Z,Tyrick Mitchell,Crystal Palace,2.904873,45
Sven Botman2023-08-19T19:00:00Z,Sven Botman,Newcastle,2.904873,45
Trent Alexander-Arnold2023-08-19T14:00:00Z,Trent Alexander-Arnold,Liverpool,2.8916175,80
Michael Keane2023-08-20T13:00:00Z,Michael Keane,Everton,2.8839097,45
Kenny Tete2023-08-19T14:00:00Z,Kenny Tete,Fulham,2.8609223,45
James Tarkowski2023-08-20T13:00:00Z,James Tarkowski,Everton,2.800755,45
Jan Paul van Hecke2023-08-19T14:00:00Z,Jan Paul van Hecke,Brighton,2.7291117,40
Virgil van Dijk2023-08-19T14:00:00Z,Virgil van Dijk,Liverpool,2.6749957,60
Rico Lewis2023-08-19T19:00:00Z,Rico Lewis,Man City,2.656204,45
Fabian Schär2023-08-19T19:00:00Z,Fabian Schär,Newcastle,2.6541948,50
Nathan Collins2023-08-19T14:00:00Z,Nathan Collins,Brentford,2.651769,45
Tyrone Mings2023-08-20T13:00:00Z,Tyrone Mings,Aston Villa,2.6080122,44
Vladimír Coufal2023-08-20T15:30:00Z,Vladimír Coufal,West Ham,2.5553675,45
Ashley Young2023-08-20T13:00:00Z,Ashley Young,Everton,2.5249987,45
Dan Burn2023-08-19T19:00:00Z,Dan Burn,Newcastle,2.5190947,45
Emerson Palmieri dos Santos2023-08-20T15:30:00Z,Emerson Palmieri dos Santos,West Ham,2.4804049,45
Hugo Bueno López2023-08-19T14:00:00Z,Hugo Bueno López,Wolves,2.4150727,45
Aymeric Laporte2023-08-19T19:00:00Z,Aymeric Laporte,Man City,2.4108,50
Rayan Aït-Nouri2023-08-19T14:00:00Z,Rayan Aït-Nouri,Wolves,2.4060256,45
Ivan Perišić2023-08-19T16:30:00Z,Ivan Perišić,Spurs,2.3889298,50
Kurt Zouma2023-08-20T15:30:00Z,Kurt Zouma,West Ham,2.3189564,45
Aaron Hickey2023-08-19T14:00:00Z,Aaron Hickey,Brentford,2.3128572,45
Lisandro Martínez2023-08-19T16:30:00Z,Lisandro Martínez,Man Utd,2.299232,50
Davinson Sánchez2023-08-19T16:30:00Z,Davinson Sánchez,Spurs,2.2903798,45
Pau Torres2023-08-20T13:00:00Z,Pau Torres,Aston Villa,2.2854607,45
Diego Carlos Santos Silva2023-08-20T13:00:00Z,Diego Carlos Santos Silva,Aston Villa,2.2578135,45
Willy Boly2023-08-18T18:45:00Z,Willy Boly,Nott'm Forest,2.185798,45
Ibrahima Konaté2023-08-19T14:00:00Z,Ibrahima Konaté,Liverpool,2.1540003,50
Takehiro Tomiyasu2023-08-21T19:00:00Z,Takehiro Tomiyasu,Arsenal,2.0988805,45
Milos Kerkez2023-08-19T14:00:00Z,Milos Kerkez,Bournemouth,2.024304,45
Illia Zabarnyi2023-08-19T14:00:00Z,Illia Zabarnyi,Bournemouth,2.0164607,45
Joe Worrall2023-08-18T18:45:00Z,Joe Worrall,Nott'm Forest,2.0158095,45
Nayef Aguerd2023-08-20T15:30:00Z,Nayef Aguerd,West Ham,1.9927522,45
Marcos Senesi2023-08-19T14:00:00Z,Marcos Senesi,Bournemouth,1.9573168,45
Nathan Patterson2023-08-20T13:00:00Z,Nathan Patterson,Everton,1.9563351,45
Serge Aurier2023-08-18T18:45:00Z,Serge Aurier,Nott'm Forest,1.9259846,45
Kristoffer Ajer2023-08-19T14:00:00Z,Kristoffer Ajer,Brentford,1.9088598,45
Max Lowe2023-08-18T18:45:00Z,Max Lowe,Sheffield Utd,1.7693838,45
Chris Mepham2023-08-19T14:00:00Z,Chris Mepham,Bournemouth,1.7602177,45
Victor Lindelöf2023-08-19T16:30:00Z,Victor Lindelöf,Man Utd,1.7453936,45
Matty Cash2023-08-20T13:00:00Z,Matty Cash,Aston Villa,1.727855,45
Joško Gvardiol2023-08-19T19:00:00Z,Joško Gvardiol,Man City,1.6439507,50
Scott McKenna2023-08-18T18:45:00Z,Scott McKenna,Nott'm Forest,1.6383107,45
John Egan2023-08-18T18:45:00Z,John Egan,Sheffield Utd,1.5640495,45
Mathias Jorgensen2023-08-19T14:00:00Z,Mathias Jorgensen,Brentford,1.5633228,45
Ben Davies2023-08-19T16:30:00Z,Ben Davies,Spurs,1.4621845,45
Olu Aina2023-08-18T18:45:00Z,Olu Aina,Nott'm Forest,1.4617699,45
Jack Robinson2023-08-18T18:45:00Z,Jack Robinson,Sheffield Utd,1.454521,45
Jurriën Timber2023-08-21T19:00:00Z,Jurriën Timber,Arsenal,1.4453223,49
Anel Ahmedhodžić2023-08-18T18:45:00Z,Anel Ahmedhodžić,Sheffield Utd,1.3336681,45
George Baldock2023-08-18T18:45:00Z,George Baldock,Sheffield Utd,1.2070261,40
Chris Basham2023-08-18T18:45:00Z,Chris Basham,Sheffield Utd,1.1841896,40
Malo Gusto2023-08-20T15:30:00Z,Malo Gusto,Chelsea,1.1742405,40
Gabriel dos Santos Magalhães2023-08-21T19:00:00Z,Gabriel dos Santos Magalhães,Arsenal,1.1564295,50
Mads Roerslev Rasmussen2023-08-19T14:00:00Z,Mads Roerslev Rasmussen,Brentford,1.1330868,45
Micky van de Ven2023-08-19T16:30:00Z,Micky van de Ven,Spurs,1.0635645,45
Max Aarons2023-08-19T14:00:00Z,Max Aarons,Bournemouth,1.003786,45
Joël Veltman2023-08-19T14:00:00Z,Joël Veltman,Brighton,0.95236206,45
Neco Williams2023-08-18T18:45:00Z,Neco Williams,Nott'm Forest,0.8538065,45
Jarell Quansah2023-08-19T14:00:00Z,Jarell Quansah,Liverpool,0.82275534,40
Tino Livramento2023-08-19T19:00:00Z,Tino Livramento,Newcastle,0.7822685,45
Alex Murphy2023-08-19T19:00:00Z,Alex Murphy,Newcastle,0.7533014,40
John Stones2023-08-19T19:00:00Z,John Stones,Man City,0.68652606,54
James Hill2023-08-19T14:00:00Z,James Hill,Bournemouth,0.68587494,40
Luc De Fougerolles2023-08-19T14:00:00Z,Luc De Fougerolles,Fulham,0.6656103,40
Josh Powell2023-08-18T18:45:00Z,Josh Powell,Nott'm Forest,0.6515138,40
Rúben Gato Alves Dias2023-08-19T19:00:00Z,Rúben Gato Alves Dias,Man City,0.6397958,55
Diogo Dalot Teixeira2023-08-19T16:30:00Z,Diogo Dalot Teixeira,Man Utd,0.6378875,50
Ben Mee2023-08-19T14:00:00Z,Ben Mee,Brentford,0.6289985,50
Eric Dier2023-08-19T16:30:00Z,Eric Dier,Spurs,0.59379315,45
Femi Seriki2023-08-18T18:45:00Z,Femi Seriki,Sheffield Utd,0.59163,40
Oleksandr Zinchenko2023-08-21T19:00:00Z,Oleksandr Zinchenko,Arsenal,0.58266544,50
João Cancelo2023-08-19T19:00:00Z,João Cancelo,Man City,0.56659865,59
Thilo Kehrer2023-08-20T15:30:00Z,Thilo Kehrer,West Ham,0.56311154,45
Ben Greenwood2023-08-19T14:00:00Z,Ben Greenwood,Bournemouth,0.47699976,40
Alexandre Moreno Lopera2023-08-20T13:00:00Z,Alexandre Moreno Lopera,Aston Villa,0.4746635,50
Aaron Cresswell2023-08-20T15:30:00Z,Aaron Cresswell,West Ham,0.36678648,45
Adam Webster2023-08-19T14:00:00Z,Adam Webster,Brighton,0.36441565,45
Vitalii Mykolenko2023-08-20T13:00:00Z,Vitalii Mykolenko,Everton,0.34411907,45
Joe Gomez2023-08-19T14:00:00Z,Joe Gomez,Liverpool,0.30894017,45
Pedro Porro2023-08-19T16:30:00Z,Pedro Porro,Spurs,0.30793023,50
Marc Cucurella Saseta2023-08-20T15:30:00Z,Marc Cucurella Saseta,Chelsea,0.3025005,50
Calvin Bassey2023-08-19T14:00:00Z,Calvin Bassey,Fulham,0.29933858,45
Konstantinos Tsimikas2023-08-19T14:00:00Z,Konstantinos Tsimikas,Liverpool,0.29252028,45
James Tomkins2023-08-21T19:00:00Z,James Tomkins,Crystal Palace,0.2864101,40
Igor Julio dos Santos de Paulo2023-08-19T14:00:00Z,Igor Julio dos Santos de Paulo,Brighton,0.28293848,45
Joel Matip2023-08-19T14:00:00Z,Joel Matip,Liverpool,0.27425528,50
Seamus Coleman2023-08-20T13:00:00Z,Seamus Coleman,Everton,0.25818157,45
