,name,team,minutes
6,Tariq Lamptey,Brighton,1
9,Jarell Quansah,Liverpool,1
11,Jan Paul van Hecke,Brighton,1
19,Michał Karbownik,Brighton,0
23,Lewis Dunk,Brighton,1
25,Igor Julio dos Santos de Paulo,Brighton,0
26,Pervis Estupiñán,Brighton,1
37,Joël Veltman,Brighton,1
39,Adam Webster,Brighton,0
46,Tyrone Mings,Aston Villa,0
50,Matty Cash,Aston Villa,1
51,Kortney Hause,Aston Villa,0
52,Ezri Konsa Ngoyo,Aston Villa,1
54,Lucas Digne,Aston Villa,1
55,Pau Torres,Aston Villa,1
60,Calum Chambers,Aston Villa,0
66,Alexandre Moreno Lopera,Aston Villa,0
67,Diego Carlos Santos Silva,Aston Villa,1
70,Dan Burn,Newcastle,1
73,Javier Manquillo Gaitán,Newcastle,0
75,Ben Davies,Spurs,0
81,Mathias Jorgensen,Brentford,0
83,Eric Dier,Spurs,0
89,Nathan Aké,Man City,1
92,Ethan Pinnock,Brentford,1
93,Matt Targett,Newcastle,1
96,Fabian Schär,Newcastle,1
103,Micky van de Ven,Spurs,1
110,Kieran Trippier,Newcastle,1
111,Japhet Tanganga,Spurs,0
115,Kell Watts,Newcastle,0
120,Joe Gomez,Liverpool,1
121,Joe Rodon,Spurs,0
124,Joel Matip,Liverpool,1
126,John Stones,Man City,0
127,João Cancelo,Man City,0
128,Josh Powell,Nott'm Forest,0
130,Aaron Cresswell,West Ham,0
131,Konstantinos Tsimikas,Liverpool,0
132,Jamal Lewis,Newcastle,0
133,Jamaal Lascelles,Newcastle,0
135,Harrison Ashby,Newcastle,0
137,Manuel Akanji,Man City,1
141,Mads Roerslev Rasmussen,Brentford,0
144,Mads Bech Sørensen,Brentford,0
145,Ibrahima Konaté,Liverpool,0
146,Kristoffer Ajer,Brentford,1
151,Ivan Perišić,Spurs,1
152,Emerson Palmieri dos Santos,West Ham,1
155,Kyle Walker,Man City,1
156,Kurt Zouma,West Ham,1
157,Emil Krafth,Newcastle,0
159,Emerson Leite de Souza Junior,Spurs,1
161,Aymeric Laporte,Man City,0
165,Sergio Reguilón,Man Utd,0
166,Ben Johnson,West Ham,0
167,Ben Mee,Brentford,1
168,Sergio Gómez,Man City,1
170,Sepp van den Berg,Liverpool,0
177,Rúben Gato Alves Dias,Man City,1
179,Nathan Collins,Brentford,1
183,Ryan Sessegnon,Spurs,0
191,Aaron Hickey,Brentford,1
198,Vladimír Coufal,West Ham,1
200,Virgil van Dijk,Liverpool,0
204,Sven Botman,Newcastle,0
207,Trent Alexander-Arnold,Liverpool,1
210,Andrew Robertson,Liverpool,1
212,Thilo Kehrer,West Ham,0
213,Angelo Ogbonna,West Ham,0
222,Cristian Romero,Spurs,1
224,Pedro Porro,Spurs,1
226,Paul Dummett,Newcastle,0
233,Djed Spence,Spurs,0
236,Davinson Sánchez,Spurs,0
237,Destiny Udogie,Spurs,1
242,Nayef Aguerd,West Ham,1
243,Charlie Goode,Brentford,0
245,Rico Lewis,Man City,1
246,Rico Henry,Brentford,1
250,Nathaniel Phillips,Liverpool,0
255,Oleksandr Zinchenko,Arsenal,1
258,Nuno Varela Tavares,Nott'm Forest,1
260,Neco Williams,Nott'm Forest,0
262,Moussa Niakhaté,Nott'm Forest,0
264,William Saliba,Arsenal,1
265,Jurriën Timber,Arsenal,0
267,Willy Boly,Nott'm Forest,1
269,Steve Cook,Nott'm Forest,0
270,Mohamed Dräger,Nott'm Forest,0
272,Richie Laryea,Nott'm Forest,0
282,Scott McKenna,Nott'm Forest,1
285,Serge Aurier,Nott'm Forest,1
287,Kieran Tierney,Arsenal,0
288,Rob Holding,Crystal Palace,0
290,Takehiro Tomiyasu,Arsenal,1
292,Omar Richards,Nott'm Forest,0
293,Olu Aina,Nott'm Forest,1
295,Loïc Mbe Soh,Nott'm Forest,0
298,Benjamin White,Arsenal,1
301,Jakub Kiwior,Arsenal,0
304,Giulian Biancone,Nott'm Forest,0
306,Cédric Alves Soares,Arsenal,0
307,César Azpilicueta,Chelsea,0
314,Harry Toffolo,Nott'm Forest,0
317,Ethan Ampadu,Chelsea,0
319,Felipe Augusto de Almeida Monteiro,Nott'm Forest,0
326,Benoît Badiashile,Chelsea,0
327,Gabriel dos Santos Magalhães,Arsenal,1
329,Abdul Rahman Baba,Chelsea,0
330,Joe Worrall,Nott'm Forest,1
335,Jonathan Panzo,Nott'm Forest,0
336,Joško Gvardiol,Man City,0
