index,name,team,points,value
Mark Flekken2023-09-02T14:00:00Z,Mark Flekken,Brentford,3.17812,45
Ederson Santana de Moraes2023-09-02T14:00:00Z,Ederson Santana de Moraes,Man City,2.9508371,56
Guglielmo Vicario2023-09-02T14:00:00Z,Guglielmo Vicario,Spurs,2.9196396,51
Wes Foderingham2023-09-02T11:30:00Z,Wes Foderingham,Sheffield Utd,2.8904204,45
Robert Sánchez2023-09-02T14:00:00Z,Robert Sánchez,Chelsea,2.8041286,45
Bernd Leno2023-09-02T14:00:00Z,Bernd Leno,Fulham,2.7458115,45
José Malheiro de Sá2023-09-03T13:00:00Z,José Malheiro de Sá,Wolves,2.7359767,50
Alisson Ramses Becker2023-09-03T13:00:00Z,Alisson Ramses Becker,Liverpool,2.6823745,55
Jason Steele2023-09-02T16:30:00Z,Jason Steele,Brighton,2.6731281,45
Norberto Murara Neto2023-09-02T14:00:00Z,Norberto Murara Neto,Bournemouth,2.5805604,45
Nick Pope2023-09-02T16:30:00Z,Nick Pope,Newcastle,2.5777743,55
Emiliano Martínez Romero2023-09-03T13:00:00Z,Emiliano Martínez Romero,Aston Villa,2.4630237,50
Matt Turner2023-09-02T14:00:00Z,Matt Turner,Nott'm Forest,2.4500568,40
Alphonse Areola2023-09-01T19:00:00Z,Alphonse Areola,West Ham,2.4490228,41
Sam Johnstone2023-09-03T13:00:00Z,Sam Johnstone,Crystal Palace,2.4426527,45
Aaron Ramsdale2023-09-03T15:30:00Z,Aaron Ramsdale,Arsenal,2.414293,50
Jordan Pickford2023-09-02T11:30:00Z,Jordan Pickford,Everton,2.0336912,45
André Onana2023-09-03T15:30:00Z,André Onana,Man Utd,1.8718705,50
Bart Verbruggen2023-09-02T16:30:00Z,Bart Verbruggen,Brighton,1.1918502,44
Robin Olsen2023-09-03T13:00:00Z,Robin Olsen,Aston Villa,0.81927645,40
Kepa Arrizabalaga2023-09-02T14:00:00Z,Kepa Arrizabalaga,Chelsea,0.68285465,50
David Raya Martin2023-09-03T15:30:00Z,David Raya Martin,Arsenal,0.6247139,48
Dean Henderson2023-09-03T13:00:00Z,Dean Henderson,Crystal Palace,0.6015166,45
Stefan Ortega Moreno2023-09-02T14:00:00Z,Stefan Ortega Moreno,Man City,0.5178338,40
Hugo Lloris2023-09-02T14:00:00Z,Hugo Lloris,Spurs,0.51774657,49
Vicente Guaita2023-09-03T13:00:00Z,Vicente Guaita,Crystal Palace,0.5158868,44
Lukasz Fabianski2023-09-01T19:00:00Z,Lukasz Fabianski,West Ham,0.45417917,44
Martin Dubravka2023-09-02T16:30:00Z,Martin Dubravka,Newcastle,0.43165302,40
Fraser Forster2023-09-02T14:00:00Z,Fraser Forster,Spurs,0.41580462,40
Lucas Bergström2023-09-02T14:00:00Z,Lucas Bergström,Chelsea,0.39625072,40
Gabriel Słonina2023-09-02T14:00:00Z,Gabriel Słonina,Chelsea,0.37963378,40
