,name,team,minutes
1,Aaron Connolly,Brighton,0
7,Evan Ferguson,Brighton,1
8,Andi Zeqiri,Brighton,0
15,João Pedro Junqueira de Jesus,Brighton,1
16,Deniz Undav,Brighton,0
20,Danny Welbeck,Brighton,1
47,Julián Álvarez,Man City,1
55,Dane Scarlett,Spurs,0
56,Alejo Véliz,Spurs,0
59,Callum Wilson,Newcastle,0
79,Erling Haaland,Man City,1
89,Alexander Isak,Newcastle,1
104,Darwin Núñez Ribeiro,Liverpool,0
141,Cody Gakpo,Liverpool,1
152,Harry Kane,Spurs,0
176,Jhon Durán,Aston Villa,1
177,Wesley Moraes Ferreira da Silva,Aston Villa,0
183,Ollie Watkins,Aston Villa,1
198,Gabriel Fernando de Jesus,Arsenal,1
217,Folarin Balogun,Arsenal,0
222,Eddie Nketiah,Arsenal,1
228,Keinan Davis,Aston Villa,0
234,Divin Mubama,West Ham,0
242,Danny Ings,West Ham,0
247,Cameron Archer,Sheffield Utd,1
250,Gianluca Scamacca,West Ham,0
254,Michail Antonio,West Ham,1
271,Yoane Wissa,Brentford,1
278,Halil Dervişoğlu,Brentford,0
290,Ivan Toney,Brentford,0
293,Youssef Ramalho Chermiti,Everton,0
295,Thomas Cannon,Everton,0
299,Rasmus Højlund,Man Utd,1
303,Taiwo Awoniyi,Nott'm Forest,1
308,Chris Wood,Nott'm Forest,1
309,Shola Shoretire,Man Utd,0
324,Anthony Martial,Man Utd,1
341,Emmanuel Dennis,Nott'm Forest,0
357,Hwang Ui-jo,Nott'm Forest,0
363,Sam Surridge,Nott'm Forest,0
375,Wout Weghorst,Burnley,0
378,Sasa Kalajdzic,Wolves,0
382,Michael Obafemi,Burnley,0
386,Zeki Amdouni,Burnley,1
388,Odsonne Edouard,Crystal Palace,0
401,Matheus Santos Carneiro Da Cunha,Wolves,1
419,John-Kymani Gordon,Crystal Palace,0
425,Fábio Silva,Wolves,1
430,Ellis Simms,Everton,0
432,Elijah Adebayo,Luton,1
453,Dominic Calvert-Lewin,Everton,1
457,Carlton Morris,Luton,1
470,Aribim Pepple,Luton,0
472,Cauley Woodrow,Luton,0
475,Chiedozie Ogbene,Luton,1
489,Antwoine Hackford,Sheffield Utd,0
491,Joe Taylor,Luton,0
493,John McAtee,Luton,0
506,Admiral Muskwe,Luton,0
507,Louie Marsh,Sheffield Utd,0
514,Luke Plange,Crystal Palace,0
515,Lyle Foster,Burnley,1
523,Jean-Philippe Mateta,Crystal Palace,1
526,Jay Rodriguez,Burnley,1
527,Daniel Jebbison,Sheffield Utd,0
535,Kieffer Moore,Bournemouth,0
540,Oliver McBurnie,Sheffield Utd,1
545,Antoine Semenyo,Bournemouth,1
559,Bénie Traoré,Sheffield Utd,0
565,William Osula,Sheffield Utd,0
569,Rhian Brewster,Sheffield Utd,1
573,Iliman Ndiaye,Sheffield Utd,0
578,Pierre-Emerick Aubameyang,Chelsea,0
585,Dominic Solanke,Bournemouth,1
597,Neal Maupay,Brentford,1
612,Rodrigo Muniz Carvalho,Fulham,0
613,Aleksandar Mitrović,Fulham,0
614,Carlos Vinícius Alves Morais,Fulham,1
620,Raúl Jiménez,Fulham,1
625,Jay Stansfield,Fulham,0
628,Armando Broja,Chelsea,1
635,Nicolas Jackson,Chelsea,0
643,Romelu Lukaku Bolingoli,Chelsea,0
644,David Datro Fofana,Chelsea,0
646,Christopher Nkunku,Chelsea,0
653,Mason Burstow,Chelsea,0
657,Jacob Brown,Luton,1
